batch_size,context_length,num_kv_blocks,actual_k,heads_per_program,pipeline_stages,min_pages_per_split,max_pages_per_split,active_programs_C,launched_programs_per_sm_C,programs_A,programs_B,programs_C,programs_D,prod_ms,time_A_ms,time_B_ms,time_C_ms,time_D_ms,speedup_B_vs_A,speedup_C_vs_B,speedup_D_vs_C,speedup_D_vs_prod
1,512,32,16,6,2,2,2,32,0.24242424242424243,12,2,32,32,0.03927399963140488,0.037436001002788544,0.18484200537204742,0.017162000760436058,0.016919000074267387,0.20252972763110788,10.770422863409248,1.0143625914712453,2.3212955528700467
1,2048,128,64,6,2,2,2,128,0.9696969696969697,12,2,128,128,0.1519719958305359,0.14451999962329865,0.7347779870033264,0.029952000826597214,0.02930000051856041,0.19668526028208896,24.53184985060656,1.0222525698463312,5.18675744508153
1,8192,512,256,6,2,2,2,512,3.878787878787879,12,2,512,512,0.6026850044727325,0.5723829865455627,2.9328529834747314,0.09453999996185303,0.0936410017311573,0.1951625225576174,31.0223501656245,1.009600476437413,6.43612299453008
1,16384,1024,264,6,2,3,4,528,4.0,12,2,528,528,1.2034340500831604,1.1439039707183838,5.864986181259155,0.12926200032234192,0.12491299957036972,0.1950394997303811,45.37285642055346,1.0348162382372557,9.634177821542153
4,512,32,16,6,2,2,2,128,0.9696969696969697,48,8,128,128,0.03929800167679787,0.0375480018556118,0.18395300209522247,0.01743900030851364,0.01727600023150444,0.20411736382630624,10.54836853265135,1.009435058741893,2.274716436107369
4,2048,128,64,6,2,2,2,512,3.878787878787879,48,8,512,512,0.1525539979338646,0.14541299641132355,0.7306569814682007,0.05077599920332432,0.04998699948191643,0.19901677544930452,14.389810007330478,1.0157840984573063,3.051873477403927
4,8192,512,66,6,2,7,8,528,4.0,48,8,528,528,0.8479669988155365,0.7006860077381134,2.993475914001465,0.14889200031757355,0.14658699929714203,0.2340710357684109,20.10501509561725,1.0157244573630921,5.78473536453699
4,16384,1024,66,6,2,15,16,528,4.0,48,8,528,528,1.7002990245819092,1.3996050357818604,6.092718124389648,0.275520995259285,0.2909589856863022,0.22971767398513432,22.113444090371278,0.9469410082297245,5.843775611780173
8,512,32,16,6,2,2,2,256,1.9393939393939394,96,16,256,256,0.03944900073111057,0.037755999714136124,0.1837030053138733,0.02068299986422062,0.02058500051498413,0.2055273927044719,8.881835638922952,1.0047607163849792,1.9163954211414789
8,2048,128,33,6,2,3,4,528,4.0,96,16,528,528,0.15248699486255646,0.14549800008535385,0.729983001947403,0.07564999908208847,0.071383997797966,0.19931696998040146,9.649478001384932,1.0597613108780526,2.1361509521241944
8,8192,512,33,6,2,15,16,528,4.0,96,16,528,528,0.8484089970588684,0.7017149925231934,3.0609641075134277,0.26767899096012115,0.2848760038614273,0.22924639684626394,11.435204894243832,0.939633339880493,2.978169398471208
8,16384,1024,33,6,2,31,32,528,4.0,96,16,528,528,1.6973629593849182,1.3993889689445496,6.120507001876831,0.512257993221283,0.52811199426651,0.22863938698467823,11.948094676646502,0.9699798504534127,3.2140208474953695
16,512,32,16,6,2,2,2,512,3.878787878787879,192,32,512,512,0.056960999965667725,0.051708001643419266,0.19679400324821472,0.037024000659585,0.03662100061774254,0.262751917182153,5.315308981804145,1.01100461579543,1.5554189946975574
16,2048,128,17,6,2,7,8,544,4.121212121212121,192,32,544,544,0.23762400448322296,0.20567400008440018,0.7896320223808289,0.1572289988398552,0.14970099925994873,0.26046816017449503,5.022178021912514,1.0502869026734714,1.5873241037663355
16,8192,512,17,6,2,30,31,544,4.121212121212121,192,32,544,544,0.949427992105484,0.8215589821338654,3.2506619691848755,0.6277599930763245,0.6251820027828217,0.2527359011555042,5.178192310814641,1.0041235836636813,1.5186425518958842
16,16384,1024,17,6,2,60,61,544,4.121212121212121,192,32,544,544,1.88475501537323,1.629056990146637,6.506604909896851,1.234611988067627,1.2266939878463745,0.2503697416249702,5.270161777775031,1.0064547477200516,1.5364508459702895
32,512,32,9,6,2,3,4,576,4.363636363636363,384,64,576,576,0.07664100080728531,0.06571799889206886,0.19798000156879425,0.0760979987680912,0.07271400094032288,0.33194261224022226,2.6016453096505034,1.046538462799559,1.0540061035863693
32,2048,128,9,6,2,14,15,576,4.363636363636363,384,64,576,576,0.2984680086374283,0.26355700194835663,0.8195459842681885,0.31200700998306274,0.3157709985971451,0.32158903466984734,2.6266909333629314,0.9880800053494325,0.9452039926510425
32,8192,512,9,6,2,56,57,576,4.363636363636363,384,64,576,576,1.1884070038795471,1.0407400131225586,3.2670140266418457,1.1781179904937744,1.2149290442466736,0.318560007589662,2.773078802805286,0.9697010669658291,0.9781698853174
32,16384,1024,9,6,2,113,114,576,4.363636363636363,384,64,576,576,2.3509570360183716,2.061959981918335,6.529463052749634,2.339879035949707,2.4118030071258545,0.31579319237437437,2.790513078852157,0.9701783392077866,0.974771583364102
64,512,32,5,6,2,6,7,640,4.848484848484849,768,128,640,640,0.14087499678134918,0.13013900071382523,0.19883699715137482,0.15204499661922455,0.14813199639320374,0.6545009358331351,1.3077510051141918,1.0264156314725827,0.9510099115076296
64,2048,128,5,6,2,25,26,640,4.848484848484849,768,128,640,640,0.5587069988250732,0.5251930058002472,0.8097380101680756,0.5514529943466187,0.5660670101642609,0.6485962116206376,1.468371771428102,0.9741832405788822,0.9869979857383813
64,8192,512,5,6,2,102,103,640,4.848484848484849,768,128,640,640,2.2555819749832153,2.0845130681991577,3.2275850772857666,2.1691830158233643,2.2883479595184326,0.6458429501576846,1.487926585143698,0.9479253392389915,0.9856813801419813
64,16384,1024,5,6,2,204,205,640,4.848484848484849,768,128,640,640,4.509202003479004,4.160425901412964,6.465424060821533,4.296273231506348,4.555089950561523,0.643488479993734,1.5048912656224716,0.9431807666008285,0.9899260063839436
96,512,32,3,6,2,10,11,576,4.363636363636363,1152,192,576,576,0.20960400253534317,0.19030800461769104,0.2679329961538315,0.2274319976568222,0.23329100012779236,0.7102820755545438,1.1780795970412319,0.974885432923856,0.8984658748967003
96,2048,128,3,6,2,42,43,576,4.363636363636363,1152,192,576,576,0.8470859825611115,0.7555079758167267,1.017622947692871,0.8833149969577789,0.9124450087547302,0.7424242717104554,1.1520498929573952,0.9680747754467891,0.9283693531483961
