-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        53.42%       3.628ms        53.42%       3.628ms     362.778us       0.000us         0.00%       0.000us       0.000us            10  
                                Activity Buffer Request        20.44%       1.388ms        20.44%       1.388ms       1.388ms       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaGraphLaunch        11.30%     767.310us        11.30%     767.310us     767.310us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         5.25%     356.876us         5.41%     367.094us      14.119us       0.000us         0.00%       0.000us       0.000us            26  
                           python/model_callback_decode         3.03%     205.717us        15.42%       1.047ms       1.047ms       0.000us         0.00%       6.815us       6.815us             1  
                                 cpp/build_decode_batch         1.67%     113.368us         6.67%     452.938us     452.938us       0.000us         0.00%       0.000us       0.000us             1  
                                 experiment/target_step         0.91%      61.613us        99.74%       6.774ms       6.774ms       0.000us         0.00%       3.500ms       3.500ms             1  
                                    cpp/callback_decode         0.69%      47.036us        16.24%       1.103ms       1.103ms       3.477ms        99.34%       3.484ms       3.484ms             1  
                                            aten::copy_         0.57%      38.488us        54.19%       3.681ms     334.602us      13.119us         0.37%      13.119us       1.193us            11  
                                           aten::argmax         0.42%      28.746us         0.67%      45.736us      45.736us       9.920us         0.28%       9.920us       9.920us             1  
                                               cpp/step         0.33%      22.439us        98.84%       6.712ms       6.712ms       0.000us         0.00%       3.500ms       3.500ms             1  
                                       cudaLaunchKernel         0.28%      19.243us         0.28%      19.243us       9.621us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.26%      17.443us         0.26%      17.443us      17.443us       0.000us         0.00%       0.000us       0.000us             1  
                                 cpp/copy_batch_enqueue         0.18%      11.932us         2.46%     167.325us     167.325us       0.000us         0.00%       3.680us       3.680us             1  
                                       aten::as_strided         0.16%      11.118us         0.16%      11.118us       0.397us       0.000us         0.00%       0.000us       0.000us            28  
                                         aten::_to_copy         0.15%      10.422us        51.41%       3.492ms       3.492ms       0.000us         0.00%       2.624us       2.624us             1  
                                   cudaEventSynchronize         0.15%       9.931us         0.15%       9.931us       4.966us       0.000us         0.00%       0.000us       0.000us             2  
                                        cudaMemsetAsync         0.11%       7.669us         0.11%       7.669us       7.669us       0.000us         0.00%       0.000us       0.000us             1  
                                    cpp/transfer_decode         0.11%       7.664us         2.68%     181.838us     181.838us       0.000us         0.00%       3.680us       3.680us             1  
                                    cudaStreamWaitEvent         0.08%       5.111us         0.08%       5.111us       2.556us       0.000us         0.00%       0.000us       0.000us             2  
                              cpp/wait_h2d_source_reuse         0.07%       4.636us        20.62%       1.401ms       1.401ms       0.000us         0.00%       0.000us       0.000us             1  
