-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        67.53%       9.846ms        67.53%       9.846ms     149.187us       0.000us         0.00%       0.000us       0.000us            66  
                          python/model_callback_prefill        15.98%       2.330ms        27.53%       4.014ms       4.014ms       0.000us         0.00%     452.769us     452.769us             1  
                                        cudaGraphLaunch         4.65%     677.898us         4.65%     677.898us      23.376us       0.000us         0.00%       0.000us       0.000us            29  
                                Activity Buffer Request         2.41%     351.488us         2.41%     351.488us     351.488us       1.472us         0.01%       1.472us       1.472us             1  
                                            aten::copy_         1.39%     202.623us        73.08%      10.654ms     152.204us     286.912us         2.24%     290.815us       4.154us            70  
                                            aten::slice         1.28%     186.032us         1.61%     235.337us       1.634us       0.000us         0.00%       0.000us       0.000us           144  
                                             cudaMalloc         1.01%     146.956us         1.01%     146.956us     146.956us       0.000us         0.00%       0.000us       0.000us             1  
                                       cuLaunchKernelEx         0.71%     103.004us         0.71%     103.004us       3.433us       0.000us         0.00%       0.000us       0.000us            30  
                                 experiment/target_step         0.67%      97.763us        99.93%      14.569ms      14.569ms       0.000us         0.00%      12.804ms      12.804ms             1  
                                    aten::empty_strided         0.62%      89.693us         0.62%      89.693us       2.893us       0.000us         0.00%       0.000us       0.000us            31  
                                       aten::as_strided         0.42%      60.719us         0.42%      60.719us       0.347us       0.000us         0.00%       0.000us       0.000us           175  
                                   cpp/callback_prefill         0.35%      51.649us        27.94%       4.074ms       4.074ms      12.329ms        96.30%      12.782ms      12.782ms             1  
                                       cudaLaunchKernel         0.32%      46.145us         0.32%      46.145us       7.691us       0.000us         0.00%       0.000us       0.000us             6  
                                               aten::mm         0.28%      41.236us         0.36%      52.746us      52.746us     171.392us         1.34%     171.392us     171.392us             1  
                                        aten::transpose         0.25%      36.624us         0.32%      47.116us       1.625us       0.000us         0.00%       0.000us       0.000us            29  
                                       aten::empty_like         0.23%      33.861us         1.94%     283.128us       9.133us       0.000us         0.00%       0.000us       0.000us            31  
                                cpp/build_prefill_batch         0.17%      25.430us         0.41%      59.200us      59.200us       0.000us         0.00%       0.000us       0.000us             1  
                                             aten::view         0.17%      24.438us         0.17%      24.438us       0.815us       0.000us         0.00%       0.000us       0.000us            30  
                                          aten::reshape         0.15%      21.238us         0.31%      44.625us       1.539us       0.000us         0.00%       0.000us       0.000us            29  
                                               cpp/step         0.14%      20.439us        99.26%      14.472ms      14.472ms       0.000us         0.00%      12.804ms      12.804ms             1  
                                            aten::empty         0.13%      19.633us         1.15%     167.439us      55.813us       0.000us         0.00%       0.000us       0.000us             3  
