batch_size,context_length,configurations,production_ms,ungrouped_k1_stage1_ms,best_heads_per_program,best_k,best_stages,best_ms,best_speedup_vs_production,best_speedup_vs_ungrouped_k1_stage1,best_ungrouped_k,best_ungrouped_stages,best_ungrouped_ms,best_speedup_vs_best_ungrouped
1,512,72,0.03917899914085865,0.03754900023341179,1,16,2,0.007808999856933951,5.017159669438322,4.808426292910019,16,2,0.007808999856933951,1.0
1,2048,96,0.15206100046634674,0.14483699947595596,1,16,3,0.015437999740242958,9.84978643767963,9.3818501044797,16,3,0.015437999740242958,1.0
1,8192,120,0.6035040020942688,0.5750479996204376,1,32,3,0.035954998806118965,16.78498184212322,15.99354801042501,32,3,0.035954998806118965,1.0
1,16384,120,1.202226996421814,1.1491050124168396,1,32,3,0.060909999534487724,19.73776072254119,18.865621756674077,32,3,0.060909999534487724,1.0
4,512,84,0.039392998442053795,0.037589000537991524,1,11,2,0.01066299993544817,3.6943635637748966,3.5251806026023056,11,2,0.01066299993544817,1.0
4,2048,120,0.1523990035057068,0.1454630047082901,1,11,2,0.02812299970537424,5.419016644820562,5.172385813469694,11,2,0.02812299970537424,1.0
4,8192,120,0.834170013666153,0.6947849988937378,1,11,3,0.09641100093722343,8.652228537792178,7.206490879045396,11,3,0.09641100093722343,1.0
4,16384,120,1.6935969591140747,1.3970580101013184,1,33,3,0.1834159940481186,9.233638363455725,7.616882144611689,33,3,0.1834159940481186,1.0
8,512,96,0.039497001096606255,0.037692999467253685,1,8,2,0.01612599939107895,2.4492746240866383,2.3374054874456833,8,2,0.01612599939107895,1.0
8,2048,120,0.15232300013303757,0.14549699425697327,1,8,2,0.04976299963891506,3.060969017911046,2.923798712149849,8,2,0.04976299963891506,1.0
8,8192,120,0.850147008895874,0.7014740109443665,1,11,3,0.17917100340127945,4.744891711031201,3.9151090166823126,11,3,0.17917100340127945,1.0
8,16384,120,1.6972370147705078,1.4001120328903198,1,33,3,0.343298003077507,4.943917528082211,4.078415896215435,33,3,0.343298003077507,1.0
16,512,108,0.05693599954247475,0.051697999238967896,1,8,2,0.026847999542951584,2.1206793992747284,1.925581053301984,8,2,0.026847999542951584,1.0
16,2048,120,0.24049799889326096,0.20851700007915497,1,8,2,0.09153999760746956,2.6272449768300694,2.2778785834503914,8,2,0.09153999760746956,1.0
16,8192,120,0.9529120028018951,0.8162829875946045,1,17,3,0.34106600284576416,2.793922568802081,2.3933285076312387,17,3,0.34106600284576416,1.0
16,16384,120,1.8931469917297363,1.6217170357704163,1,32,3,0.6652179956436157,2.845904657011071,2.43787306776234,32,3,0.6652179956436157,1.0
32,512,108,0.07665200158953667,0.06571299955248833,1,8,2,0.04733399860560894,1.6193857237417848,1.3882832950584811,8,2,0.04733399860560894,1.0
32,2048,108,0.2990889996290207,0.266758993268013,1,8,2,0.1721469983458519,1.7374046745104204,1.5496000269030592,8,2,0.1721469983458519,1.0
32,8192,108,1.1909940242767334,1.03615403175354,1,16,3,0.6525329947471619,1.82518590456596,1.5878952330295888,16,3,0.6525329947471619,1.0
32,16384,108,2.3644169569015503,2.0655590295791626,1,16,3,1.288246989250183,1.8353754960279363,1.603387430217407,16,3,1.288246989250183,1.0
64,512,96,0.14115100353956223,0.13006599992513657,1,8,2,0.08867700025439262,1.5917431028861433,1.4667388336548262,8,2,0.08867700025439262,1.0
64,2048,96,0.5617740154266357,0.5254690051078796,1,8,2,0.3270690143108368,1.717600845223272,1.6065997759374702,8,2,0.3270690143108368,1.0
64,8192,96,2.2584969997406006,2.0830209255218506,1,16,3,1.2834559679031372,1.7596996361553792,1.622978097896894,16,3,1.2834559679031372,1.0
64,16384,96,4.502583980560303,4.152935028076172,1,32,3,2.558709979057312,1.7597086099688246,1.623058127754756,32,3,2.558709979057312,1.0
96,512,84,0.2090590000152588,0.190202996134758,1,8,2,0.12921199947595596,1.617953447536898,1.4720226984038844,8,2,0.12921199947595596,1.0
96,2048,84,0.8468030095100403,0.7492989897727966,1,8,2,0.48309101164340973,1.7528850446406194,1.5510513996602497,8,2,0.48309101164340973,1.0
96,8192,84,3.355312943458557,2.9877840280532837,1,16,3,1.9200310111045837,1.7475305992731145,1.556112380879946,16,3,1.9200310111045837,1.0
96,16384,84,6.7515411376953125,6.013459920883179,1,8,2,3.9346799850463867,1.7159060364132046,1.5283224922324363,8,2,3.9346799850463867,1.0
128,512,84,0.27681100368499756,0.2507849931716919,1,3,2,0.16785000264644623,1.6491569813559266,1.4941018124374845,3,2,0.16785000264644623,1.0
128,2048,84,1.1105839610099792,0.99515300989151,1,8,2,0.6422489881515503,1.72921091585732,1.5494816313461994,8,2,0.6422489881515503,1.0
128,8192,84,4.436957836151123,3.968013048171997,1,32,3,2.584179997444153,1.7169693444494711,1.5355018040912418,32,3,2.584179997444153,1.0
128,16384,84,8.868266105651855,7.868636846542358,2,32,3,5.364151954650879,1.6532466232547356,1.4668929801140358,32,3,5.407677888870239,1.0081142246877668
256,512,72,0.5459979772567749,0.489083006978035,1,4,2,0.3294149935245514,1.657477613313559,1.4847017184771327,4,2,0.3294149935245514,1.0
256,2048,72,2.1828449964523315,1.9447320103645325,1,16,3,1.3142199516296387,1.660943431687819,1.4797614417229445,16,3,1.3142199516296387,1.0
256,8192,72,8.714531898498535,7.75881814956665,2,16,3,5.351478099822998,1.628434562553245,1.4498458191996106,8,2,5.379688024520874,1.0052714267295253
256,16384,72,17.439971923828125,15.506346702575684,2,16,3,10.66022777557373,1.6359849236795045,1.4545980657285849,8,2,10.879207134246826,1.0205417148003961
