batch_size,context_length,variant,kernel_family,heads_per_program,num_warps,num_stages,median_ms,speedup_vs_production_default,max_abs_error,status,error
1,128,production-default,production,,,,0.0457760002464056,1.0,0.0,ok,
1,128,production-w4-s2,production,,4,2,0.046160001307725906,0.9916810864289115,0.0,ok,
1,128,production-w8-s2,production,,8,2,0.05291200056672096,0.8651345584388364,0.0,ok,
1,128,candidate-h1-w4-s2,candidate,1,4,2,0.053647998720407486,0.8532657571249269,5.960464477539063e-08,ok,
1,128,candidate-h1-w8-s2,candidate,1,8,2,0.05313599854707718,0.8614875319572511,5.960464477539063e-08,ok,
1,128,candidate-h2-w4-s2,candidate,2,4,2,0.06483200192451477,0.7060710588530574,5.960464477539063e-08,ok,
1,128,candidate-h3-w4-s2,candidate,3,4,2,0.08017599955201149,0.5709439296320834,5.960464477539063e-08,ok,
1,128,candidate-h6-w4-s2,candidate,6,4,2,0.11415999755263329,0.400981089941778,5.960464477539063e-08,ok,
1,256,production-default,production,,,,0.056703999638557434,1.0,0.0,ok,
1,256,production-w4-s2,production,,4,2,0.058928001672029495,0.96225899452946,0.0,ok,
1,256,production-w8-s2,production,,8,2,0.07096000015735626,0.7990980765616452,9.5367431640625e-07,ok,
1,256,candidate-h1-w4-s2,candidate,1,4,2,0.0663359984755516,0.8547998212381761,6.103515625e-05,ok,
1,256,candidate-h1-w8-s2,candidate,1,8,2,0.06785599887371063,0.8356519774189957,6.103515625e-05,ok,
1,256,candidate-h2-w4-s2,candidate,2,4,2,0.08953600004315376,0.6333095024484872,6.103515625e-05,ok,
1,256,candidate-h3-w4-s2,candidate,3,4,2,0.12406400218605995,0.45705441255649576,6.103515625e-05,ok,
1,256,candidate-h6-w4-s2,candidate,6,4,2,0.18849600106477737,0.30082335603008836,6.103515625e-05,ok,
1,512,production-default,production,,,,0.08060800284147263,1.0,0.0,ok,
1,512,production-w4-s2,production,,4,2,0.08191999793052673,0.9839844345434827,0.0,ok,
1,512,production-w8-s2,production,,8,2,0.10680000111460686,0.7547565730357282,0.0,ok,
1,512,candidate-h1-w4-s2,candidate,1,4,2,0.0918239988386631,0.8778533265916981,4.76837158203125e-07,ok,
1,512,candidate-h1-w8-s2,candidate,1,8,2,0.08950399979948997,0.9006078278295219,0.0,ok,
1,512,candidate-h2-w4-s2,candidate,2,4,2,0.13707199692726135,0.5880705370058049,4.76837158203125e-07,ok,
1,512,candidate-h3-w4-s2,candidate,3,4,2,0.19777599722146988,0.4075722229892622,4.76837158203125e-07,ok,
1,512,candidate-h6-w4-s2,candidate,6,4,2,0.3345919996500015,0.24091431631895643,4.76837158203125e-07,ok,
1,1024,production-default,production,,,,0.12860800325870514,1.0,0.0,ok,
1,1024,production-w4-s2,production,,4,2,0.1292480006814003,0.9950482992439259,0.0,ok,
1,1024,production-w8-s2,production,,8,2,0.1794399991631508,0.716718701841789,9.5367431640625e-07,ok,
1,1024,candidate-h1-w4-s2,candidate,1,4,2,0.14255999773740768,0.9021324726421376,7.62939453125e-06,ok,
1,1024,candidate-h1-w8-s2,candidate,1,8,2,0.13743999600410461,0.9357392825801908,7.62939453125e-06,ok,
1,1024,candidate-h2-w4-s2,candidate,2,4,2,0.23399999737739563,0.5496068576927627,7.62939453125e-06,ok,
1,1024,candidate-h3-w4-s2,candidate,3,4,2,0.3537600040435791,0.3635459118856809,7.62939453125e-06,ok,
1,1024,candidate-h6-w4-s2,candidate,6,4,2,0.6284160017967224,0.2046542463766013,7.62939453125e-06,ok,
1,2048,production-default,production,,,,0.22288000583648682,1.0,0.0,ok,
1,2048,production-w4-s2,production,,4,2,0.2248160019516945,0.9913885306277102,0.0,ok,
1,2048,production-w8-s2,production,,8,2,0.3232639878988266,0.6894674760562646,3.0517578125e-05,ok,
1,2048,candidate-h1-w4-s2,candidate,1,4,2,0.2441440001130104,0.9129038835003899,3.0517578125e-05,ok,
1,2048,candidate-h1-w8-s2,candidate,1,8,2,0.23375999927520752,0.9534565645428857,2.384185791015625e-07,ok,
1,2048,candidate-h2-w4-s2,candidate,2,4,2,0.42691200971603394,0.5220748087755562,3.0517578125e-05,ok,
1,2048,candidate-h3-w4-s2,candidate,3,4,2,0.6678560078144073,0.3337246400850281,3.0517578125e-05,ok,
1,2048,candidate-h6-w4-s2,candidate,6,4,2,1.2159039974212646,0.18330395023717266,3.0517578125e-05,ok,
1,4096,production-default,production,,,,0.4156000018119812,1.0,0.0,ok,
1,4096,production-w4-s2,production,,4,2,0.41684800386428833,0.9970060980483586,0.0,ok,
1,4096,production-w8-s2,production,,8,2,0.6131519973278046,0.6778090972927098,1.52587890625e-05,ok,
1,4096,candidate-h1-w4-s2,candidate,1,4,2,0.4493120014667511,0.9249697325138897,1.52587890625e-05,ok,
1,4096,candidate-h1-w8-s2,candidate,1,8,2,0.4269919991493225,0.9733203494209796,1.52587890625e-05,ok,
1,4096,candidate-h2-w4-s2,candidate,2,4,2,0.8131840229034424,0.5110774315610596,1.52587890625e-05,ok,
1,4096,candidate-h3-w4-s2,candidate,3,4,2,1.2942559719085693,0.3211111332166529,1.52587890625e-05,ok,
1,4096,candidate-h6-w4-s2,candidate,6,4,2,2.3921120166778564,0.17373768406931156,1.52587890625e-05,ok,
1,8192,production-default,production,,,,0.7977280020713806,1.0,0.0,ok,
1,8192,production-w4-s2,production,,4,2,0.7981280088424683,0.9994988187776197,0.0,ok,
1,8192,production-w8-s2,production,,8,2,1.1930239796638489,0.6686604927221593,4.76837158203125e-07,ok,
1,8192,candidate-h1-w4-s2,candidate,1,4,2,0.8579359948635101,0.9298222791063708,7.62939453125e-06,ok,
1,8192,candidate-h1-w8-s2,candidate,1,8,2,0.820576012134552,0.9721561321251188,7.62939453125e-06,ok,
1,8192,candidate-h2-w4-s2,candidate,2,4,2,1.5869600176811218,0.502676811755489,7.62939453125e-06,ok,
1,8192,candidate-h3-w4-s2,candidate,3,4,2,2.5499199628829956,0.31284432989396727,7.62939453125e-06,ok,
1,8192,candidate-h6-w4-s2,candidate,6,4,2,4.74617600440979,0.16807804879764082,7.62939453125e-06,ok,
1,16384,production-default,production,,,,1.5669119954109192,1.0,0.0,ok,
1,16384,production-w4-s2,production,,4,2,1.5669119954109192,1.0,0.0,ok,
1,16384,production-w8-s2,production,,8,2,2.3533120155334473,0.6658326584270351,1.9073486328125e-06,ok,
1,16384,candidate-h1-w4-s2,candidate,1,4,2,1.6759999990463257,0.9349116923046065,1.9073486328125e-06,ok,
1,16384,candidate-h1-w8-s2,candidate,1,8,2,1.5899199843406677,0.9855288384595721,7.62939453125e-06,ok,
1,16384,candidate-h2-w4-s2,candidate,2,4,2,3.132751941680908,0.5001711034197548,1.9073486328125e-06,ok,
1,16384,candidate-h3-w4-s2,candidate,3,4,2,5.057839870452881,0.3097986562533498,1.9073486328125e-06,ok,
1,16384,candidate-h6-w4-s2,candidate,6,4,2,9.45147180557251,0.16578497271579234,1.9073486328125e-06,ok,
4,128,production-default,production,,,,0.04483199864625931,1.0,0.0,ok,
4,128,production-w4-s2,production,,4,2,0.0464479997754097,0.9652083806199567,0.0,ok,
4,128,production-w8-s2,production,,8,2,0.05283199995756149,0.8485765952883031,3.814697265625e-06,ok,
4,128,candidate-h1-w4-s2,candidate,1,4,2,0.05395200103521347,0.8309608130567445,6.103515625e-05,ok,
4,128,candidate-h1-w8-s2,candidate,1,8,2,0.05243200063705444,0.8550503147227972,0.0001220703125,ok,
4,128,candidate-h2-w4-s2,candidate,2,4,2,0.06526399776339531,0.6869330746300724,6.103515625e-05,ok,
4,128,candidate-h3-w4-s2,candidate,3,4,2,0.0796000026166439,0.5632160448809482,6.103515625e-05,ok,
4,128,candidate-h6-w4-s2,candidate,6,4,2,0.11382400244474411,0.39387121945587017,6.103515625e-05,ok,
4,256,production-default,production,,,,0.05704000033438206,1.0,0.0,ok,
4,256,production-w4-s2,production,,4,2,0.058639999479055405,0.9727148847393011,0.0,ok,
4,256,production-w8-s2,production,,8,2,0.07091199979186058,0.8043772633941318,1.9073486328125e-06,ok,
4,256,candidate-h1-w4-s2,candidate,1,4,2,0.0663679987192154,0.859450359136223,6.103515625e-05,ok,
4,256,candidate-h1-w8-s2,candidate,1,8,2,0.06548799946904182,0.8709992792091108,6.103515625e-05,ok,
4,256,candidate-h2-w4-s2,candidate,2,4,2,0.08875199779868126,0.6426897619112479,6.103515625e-05,ok,
4,256,candidate-h3-w4-s2,candidate,3,4,2,0.11884799972176552,0.47994076861131973,6.103515625e-05,ok,
4,256,candidate-h6-w4-s2,candidate,6,4,2,0.1865440011024475,0.3057723646822416,6.103515625e-05,ok,
4,512,production-default,production,,,,0.08054400235414505,1.0,0.0,ok,
4,512,production-w4-s2,production,,4,2,0.0822720006108284,0.9789965207621812,0.0,ok,
4,512,production-w8-s2,production,,8,2,0.10716799646615982,0.7515676788786309,6.103515625e-05,ok,
4,512,candidate-h1-w4-s2,candidate,1,4,2,0.0915519967675209,0.8797623776428537,3.814697265625e-06,ok,
4,512,candidate-h1-w8-s2,candidate,1,8,2,0.08879999816417694,0.9070270722892597,3.814697265625e-06,ok,
4,512,candidate-h2-w4-s2,candidate,2,4,2,0.13715199381113052,0.587260892940869,3.814697265625e-06,ok,
4,512,candidate-h3-w4-s2,candidate,3,4,2,0.19681599736213684,0.40923503898895963,3.814697265625e-06,ok,
4,512,candidate-h6-w4-s2,candidate,6,4,2,0.33108799159526825,0.24327068452728548,3.814697265625e-06,ok,
4,1024,production-default,production,,,,0.128431998193264,1.0,0.0,ok,
4,1024,production-w4-s2,production,,4,2,0.12998400628566742,0.9880600072520265,0.0,ok,
4,1024,production-w8-s2,production,,8,2,0.17899200320243835,0.717529252119764,6.103515625e-05,ok,
4,1024,candidate-h1-w4-s2,candidate,1,4,2,0.1425280049443245,0.9011000907746741,3.0517578125e-05,ok,
4,1024,candidate-h1-w8-s2,candidate,1,8,2,0.13710399717092514,0.9367487516293934,3.0517578125e-05,ok,
4,1024,candidate-h2-w4-s2,candidate,2,4,2,0.2335680052638054,0.5498698250567554,3.0517578125e-05,ok,
4,1024,candidate-h3-w4-s2,candidate,3,4,2,0.35199999809265137,0.3648636332079152,3.0517578125e-05,ok,
