batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,128,0,128,8256,32,16,4,2,0.13777600228786469,0.07953600212931633,1.7322470151800797,0.6787366706099399,0.0009765625,ok,
1,128,0,128,8256,32,32,2,2,0.13777600228786469,0.05915199965238571,2.3291858787111672,0.9126318906566327,0.0009765625,ok,
1,128,0,128,8256,32,32,4,2,0.13777600228786469,0.054416000843048096,2.5319023844705453,0.9920611666150025,0.0009765625,ok,
1,128,0,128,8256,64,32,4,2,0.13777600228786469,0.05398400127887726,2.5521635859506655,1.0,0.0009765625,ok,
1,128,0,128,8256,64,64,4,2,0.13777600228786469,0.0540159996598959,2.550651717182905,0.9994076129069144,0.0009765625,ok,
1,128,0,128,8256,128,64,8,2,0.13777600228786469,0.0687519982457161,2.00395633295574,0.7851990146663261,0.0009765625,ok,
1,128,2048,2176,270400,32,16,4,2,0.25036799907684326,0.25304000079631805,0.9894403979170645,0.6204868764783605,0.0001220703125,ok,
1,128,2048,2176,270400,32,32,2,2,0.25036799907684326,0.2231839969754219,1.121800857005061,0.7034912979691806,0.0001220703125,ok,
1,128,2048,2176,270400,32,32,4,2,0.25036799907684326,0.16601600497961044,1.5080955544472514,0.9457401395574629,0.0001220703125,ok,
1,128,2048,2176,270400,64,32,4,2,0.25036799907684326,0.15700799971818924,1.5946193794343229,1.0,0.0001220703125,ok,
1,128,2048,2176,270400,64,64,4,2,0.25036799907684326,0.14472000300884247,1.7300165414006081,1.0849087648830131,0.0001220703125,ok,
1,128,2048,2176,270400,128,64,8,2,0.25036799907684326,0.16019200533628464,1.5629244327846186,0.9801238169694465,0.0001220703125,ok,
1,128,8192,8320,1056832,32,16,4,2,0.6535999774932861,0.8239839971065521,0.7932192612822879,0.5540107597877122,6.103515625e-05,ok,
1,128,8192,8320,1056832,32,32,2,2,0.6535999774932861,0.6719360053539276,0.9727116455815114,0.6793742211350435,6.103515625e-05,ok,
1,128,8192,8320,1056832,32,32,4,2,0.6535999774932861,0.49220800399780273,1.3278938420030322,0.9274453007309382,6.103515625e-05,ok,
1,128,8192,8320,1056832,64,32,4,2,0.6535999774932861,0.456496000289917,1.4317759127751173,1.0,6.103515625e-05,ok,
1,128,8192,8320,1056832,64,64,4,2,0.6535999774932861,0.40886400640010834,1.5985754853991299,1.116498378786605,6.103515625e-05,ok,
1,128,8192,8320,1056832,128,64,8,2,0.6535999774932861,0.463935986161232,1.4088150024778205,0.9839633352590816,6.103515625e-05,ok,
1,128,16384,16512,2105408,32,16,4,2,1.2044320106506348,1.5483199954032898,0.7778960513501069,0.5227446546973092,3.0517578125e-05,ok,
1,128,16384,16512,2105408,32,32,2,2,1.2044320106506348,1.2462239861488342,0.9664651170554437,0.649462705223016,3.0517578125e-05,ok,
1,128,16384,16512,2105408,32,32,4,2,1.2044320106506348,0.9017920196056366,1.3355984356319164,0.8975195874010741,3.0517578125e-05,ok,
1,128,16384,16512,2105408,64,32,4,2,1.2044320106506348,0.8093760013580322,1.4880994848250353,1.0,3.0517578125e-05,ok,
1,128,16384,16512,2105408,64,64,4,2,1.2044320106506348,0.714464008808136,1.6857840224308291,1.1328436301616198,3.0517578125e-05,ok,
1,128,16384,16512,2105408,128,64,8,2,1.2044320106506348,0.8223040103912354,1.4647040454996574,0.9842783096399442,3.0517578125e-05,ok,
1,256,0,256,32896,32,16,4,2,0.14108800143003464,0.07228799909353256,1.9517486055670539,0.8680832472114175,0.00048828125,ok,
1,256,0,256,32896,32,32,2,2,0.14108800143003464,0.06745600327849388,2.0915558967754007,0.9302656240758361,0.00048828125,ok,
1,256,0,256,32896,32,32,4,2,0.14108800143003464,0.06199999898672104,2.2756129634816995,1.0121290647274006,0.00048828125,ok,
1,256,0,256,32896,64,32,4,2,0.14108800143003464,0.06275200098752975,2.2483426697113935,1.0,0.00048828125,ok,
1,256,0,256,32896,64,64,4,2,0.14108800143003464,0.05873600021004677,2.4020702963342333,1.0683737531177013,0.00048828125,ok,
1,256,0,256,32896,128,64,8,2,0.14108800143003464,0.061184000223875046,2.3059623580313025,1.02562762745027,0.00048828125,ok,
1,256,2048,2304,557184,32,16,4,2,0.2455200031399727,0.2499999925494194,0.9820800418281568,0.6504320100078586,0.0001220703125,ok,
1,256,2048,2304,557184,32,32,2,2,0.2455200031399727,0.2171039953827858,1.1308866182176212,0.7489866659025186,0.0001220703125,ok,
1,256,2048,2304,557184,32,32,4,2,0.2455200031399727,0.1725119948387146,1.423205403018584,0.9425895156327794,0.0001220703125,ok,
