rows,hidden_size,baseline_median_ms,best_fused_median_ms,best_speedup,best_block_size,best_num_warps,successful_configurations,failed_configurations
128,8960,0.01616000011563301,0.030047999694943428,0.5378061860920634,512,8,8,0
256,8960,0.015984000638127327,0.029504000209271908,0.5417570676773588,1024,4,8,0
384,8960,0.018079999834299088,0.029583999887108803,0.6111411541134243,1024,4,8,0
512,8960,0.021423999220132828,0.02971199993044138,0.7210554412455725,1024,8,8,0
768,8960,0.0294560007750988,0.03487999923527241,0.8444954535810716,1024,4,8,0
1024,8960,0.03835200145840645,0.04123200103640556,0.9301513507565098,512,4,8,0
1280,8960,0.04772799834609032,0.04654400050640106,1.025438248255571,1024,4,8,0
1536,8960,0.05688000097870827,0.05073599889874458,1.121097489225066,512,4,8,0
1792,8960,0.06480000168085098,0.054735999554395676,1.1838644074902456,512,4,8,0
2048,8960,0.07260800153017044,0.05971199832856655,1.2159700489446585,512,4,8,0
2560,8960,0.08817600086331367,0.06857600063085556,1.2858142798085421,512,4,8,0
3072,8960,0.1035039983689785,0.07769599929451942,1.3321663831959947,512,4,8,0
4096,8960,0.1348159983754158,0.094735998660326,1.4230704302679684,512,4,8,0
6144,8960,0.19572799652814865,0.12971200048923492,1.5089428564043506,512,4,8,0
8192,8960,0.2593439966440201,0.16523200273513794,1.5695748544532315,1024,8,8,0
12288,8960,0.38092799484729767,0.23526400327682495,1.61915120690638,1024,8,8,0
16384,8960,0.5044319927692413,0.3054240047931671,1.6515793940651202,1024,8,8,0
