shape_id,batch,prompt_length,output_length,splitk_executed,splitk_choice,old_tok_s,eager_cpp_tok_s,decode_graph_tok_s,piecewise_production_tok_s,piecewise_splitk_tok_s,vllm_tok_s,production_vs_old,splitk_vs_old,vllm_vs_production,vllm_vs_splitk,old_vs_integrated_exact,vllm_vs_integrated_exact
fixed-b8-l256-o128,8,256,128,False,inactive_short_context,759.5080951336669,823.5084899486988,2335.8541931850764,2336.3477087114047,2330.3520440247953,2546.5148212636013,3.0761327281182274,3.0682385862058172,1.0899554085072862,1.0927597089002343,False,False
fixed-b8-l256-o256,8,256,256,False,inactive_short_context,768.3653061892637,815.2605182005316,2236.034501100424,2244.926085351992,2237.71625172282,2578.7295580640894,2.9216911113358126,2.9123077704026703,1.148692411251375,1.152393452958445,False,False
fixed-b8-l2048-o128,8,2048,128,True,rejected_numerical_correctness,652.2861176267414,683.5831166312802,801.1852447952307,804.1810587535592,,2073.271619272688,1.2328655125751684,,2.5781154588323134,,True,False
fixed-b8-l2048-o256,8,2048,256,True,rejected_numerical_correctness,685.5392291117388,718.5070133538197,843.5547090524343,845.1516136120403,,2313.2168378852953,1.232827499466534,,2.737043626999638,,True,False
fixed-b64-l256-o128,64,256,128,False,inactive_short_context,5402.061143480316,5538.349704420344,10577.873511554346,10623.902131039713,10626.613097563224,14200.178775402577,1.9666386308606625,1.9671404701496868,1.3366255261251048,1.3362845381713204,False,False
fixed-b64-l256-o256,64,256,256,False,inactive_short_context,5538.235837284942,5863.59106680709,10678.199969674766,10693.961021415469,10691.928950588559,15497.506001261163,1.9309327619132346,1.9305658452837136,1.4491829519694555,1.449458378640654,False,False
fixed-b64-l2048-o128,64,2048,128,True,rejected_numerical_correctness,2155.1833562408574,2058.3632983237785,2044.1547371830138,2054.218132633642,,5639.430048994909,0.9531523741055044,,2.745292702564547,,True,False
fixed-b64-l2048-o256,64,2048,256,True,rejected_numerical_correctness,2523.130210876564,2475.672946927217,2505.8983082139516,2512.760637478118,,7936.3217482324335,0.9958901949040342,,3.158407382645712,,True,False
probe-b8-l4096-o256,8,4096,256,True,splitk_candidate,489.80863294716727,455.5503064812269,481.73893809800467,482.541363367447,1254.442422265347,1941.8973018294362,0.9851630430929865,2.5610867957091648,4.0243126273730745,1.548016287844158,True,True
probe-b64-l4096-o256,64,4096,256,True,splitk_candidate,1296.720098457884,1275.6669689722248,1221.8783351113032,1225.2844797186099,1842.9719015048406,4921.509810927171,0.9449105332567695,1.421256525364713,4.016626254873815,2.670420426328049,True,True
