batch_size,context_length,production_median_ms,best_candidate_median_ms,best_speedup,best_heads_per_program,best_num_warps,successful_configurations,failed_configurations
1,128,0.04031999967992306,0.04249599948525429,0.9487951846835304,1,8,8,0
1,512,0.07235199958086014,0.07273600250482559,0.9947205935060842,1,8,8,0
1,2048,0.21264000236988068,0.18915199488401413,1.1241753093868723,1,8,8,0
1,4096,0.3991840034723282,0.3468960076570511,1.150731039450215,1,8,8,0
1,8192,0.7727839946746826,0.6628319919109344,1.1658821603446723,1,8,8,0
1,16384,1.5140159726142883,1.2947199940681458,1.1693771468355034,1,8,8,0
8,128,0.03694400005042553,0.042479999363422394,0.8696798635603639,1,8,8,0
8,512,0.0732479989528656,0.0716480016708374,1.0223313594896735,1,8,8,0
8,2048,0.21556799858808517,0.19233600050210953,1.1207886096483577,1,8,8,0
8,4096,0.5716000199317932,0.4135039895772934,1.3823325393211183,1,8,8,0
8,8192,1.1180320382118225,0.7942560017108917,1.4076469498543178,1,8,8,0
8,16384,2.237007975578308,1.551792025566101,1.4415642938764537,1,8,8,0
16,128,0.041728001087903976,0.04604800045490265,0.9061848652640306,1,8,8,0
16,512,0.08873599767684937,0.08441599830985069,1.0511751262022873,1,8,8,0
16,2048,0.3168160021305084,0.25468799471855164,1.2439377147737671,1,8,8,0
16,4096,0.5974240005016327,0.4749760031700134,1.2577982814171564,1,8,8,0
16,8192,1.1920160055160522,0.9181919991970062,1.2982208585551993,1,8,8,0
16,16384,2.3180959224700928,1.8141279816627502,1.2778017570433082,1,8,8,0
32,128,0.04660800099372864,0.049984000623226166,0.9324583949383036,1,4,8,0
32,512,0.10516799986362457,0.09912000223994255,1.061016923799512,1,4,8,0
32,2048,0.35153599083423615,0.30616000294685364,1.1482100452398394,1,4,8,0
32,4096,0.6770559847354889,0.5763999819755554,1.1746287402975704,1,4,8,0
32,8192,1.30867201089859,1.1215360164642334,1.166856874578423,1,4,8,0
32,16384,2.783184051513672,2.2113280296325684,1.258602981655382,1,4,8,0
64,128,0.06147199869155884,0.062272001057863235,0.987153096853897,2,4,8,0
64,512,0.16275200247764587,0.14801599830389023,1.0995568340085866,1,4,8,0
64,2048,0.5703839957714081,0.49396800994873047,1.1546982482339472,2,4,8,0
64,4096,1.1186879873275757,0.9646880030632019,1.159637088649774,2,4,8,0
64,8192,2.2241599559783936,1.89164799451828,1.175778983417467,1,4,8,0
64,16384,4.482880115509033,3.75055992603302,1.1952562294480096,1,4,8,0
