batch_size,context_length,variant,kernel_family,heads_per_program,num_warps,num_stages,median_ms,speedup_vs_production_default,max_abs_error,status,error
8,128,production-default,production,,,,0.08012799918651581,1.0,0.0,ok,
8,128,production-w4-s2,production,,4,2,0.07676800340414047,1.0437681798846172,0.0,ok,
8,128,production-w8-s2,production,,8,2,0.07857600226998329,1.019751538277551,3.0517578125e-05,ok,
8,128,candidate-h1-w4-s2,candidate,1,4,2,0.08777599781751633,0.9128691348299967,3.0517578125e-05,ok,
8,128,candidate-h1-w8-s2,candidate,1,8,2,0.08795199915766716,0.9110423862324533,6.103515625e-05,ok,
8,128,candidate-h2-w4-s2,candidate,2,4,2,0.09318399801850319,0.859890119445241,3.0517578125e-05,ok,
8,128,candidate-h3-w4-s2,candidate,3,4,2,0.10564799979329109,0.7584431256937448,3.0517578125e-05,ok,
8,128,candidate-h6-w4-s2,candidate,6,4,2,0.1281920000910759,0.625062399600503,3.0517578125e-05,ok,
8,2048,production-default,production,,,,0.19500799477100372,1.0,0.0,ok,
8,2048,production-w4-s2,production,,4,2,0.19660799950361252,0.991861955074827,0.0,ok,
8,2048,production-w8-s2,production,,8,2,0.2751679867506027,0.7086870717550016,3.814697265625e-06,ok,
8,2048,candidate-h1-w4-s2,candidate,1,4,2,0.21254399418830872,0.9174947309884064,3.0517578125e-05,ok,
8,2048,candidate-h1-w8-s2,candidate,1,8,2,0.20504000037908554,0.9510729341126889,6.103515625e-05,ok,
8,2048,candidate-h2-w4-s2,candidate,2,4,2,0.3596159964799881,0.5422672981174116,3.0517578125e-05,ok,
8,2048,candidate-h3-w4-s2,candidate,3,4,2,0.5545600056648254,0.3516445340071387,6.103515625e-05,ok,
8,2048,candidate-h6-w4-s2,candidate,6,4,2,0.976175993680954,0.19976725102168275,6.103515625e-05,ok,
8,8192,production-default,production,,,,0.9574880003929138,1.0,0.0,ok,
8,8192,production-w4-s2,production,,4,2,0.9559040069580078,1.0016570632860373,0.0,ok,
8,8192,production-w8-s2,production,,8,2,1.2570880055427551,0.7616714153433616,7.62939453125e-06,ok,
8,8192,candidate-h1-w4-s2,candidate,1,4,2,0.8536960184574127,1.121579554890098,7.62939453125e-06,ok,
8,8192,candidate-h1-w8-s2,candidate,1,8,2,0.8007840216159821,1.1956881937537953,7.62939453125e-06,ok,
8,8192,candidate-h2-w4-s2,candidate,2,4,2,1.5351200103759766,0.6237219200591418,7.62939453125e-06,ok,
8,8192,candidate-h3-w4-s2,candidate,3,4,2,2.302847981452942,0.41578428454873667,7.62939453125e-06,ok,
8,8192,candidate-h6-w4-s2,candidate,6,4,2,3.999664068222046,0.23939210495208962,7.62939453125e-06,ok,
8,16384,production-default,production,,,,1.873423993587494,1.0,0.0,ok,
8,16384,production-w4-s2,production,,4,2,1.870736002922058,1.0014368626365437,0.0,ok,
8,16384,production-w8-s2,production,,8,2,2.4175519943237305,0.7749260400546433,1.52587890625e-05,ok,
8,16384,candidate-h1-w4-s2,candidate,1,4,2,1.6476640105247498,1.1370182158623734,7.62939453125e-06,ok,
8,16384,candidate-h1-w8-s2,candidate,1,8,2,1.552240014076233,1.206916441142257,7.62939453125e-06,ok,
8,16384,candidate-h2-w4-s2,candidate,2,4,2,3.001471996307373,0.6241684066659009,7.62939453125e-06,ok,
8,16384,candidate-h3-w4-s2,candidate,3,4,2,4.5601441860198975,0.4108256048856696,7.62939453125e-06,ok,
8,16384,candidate-h6-w4-s2,candidate,6,4,2,7.966896057128906,0.23515105257475075,7.62939453125e-06,ok,
64,128,production-default,production,,,,0.07238399982452393,1.0,0.0,ok,
64,128,production-w4-s2,production,,4,2,0.07342400029301643,0.9858356877268722,0.0,ok,
64,128,production-w8-s2,production,,8,2,0.10604799911379814,0.6825588453286139,0.0001220703125,ok,
64,128,candidate-h1-w4-s2,candidate,1,4,2,0.07239999994635582,0.9997790038419372,0.0001220703125,ok,
64,128,candidate-h1-w8-s2,candidate,1,8,2,0.08540800213813782,0.8475084068522171,0.000244140625,ok,
64,128,candidate-h2-w4-s2,candidate,2,4,2,0.07580799981951714,0.9548332629386735,0.0001220703125,ok,
