CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      25.112ms        80.54%      25.112ms     896.870us           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us      25.112ms        80.54%      25.112ms     896.870us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         1.53%     597.942us        99.98%      39.049ms      39.049ms       0.000us         0.00%       5.370ms       5.370ms           0 b           0 b           0 b     -13.12 Mb             1            --  
                                            mixed/layer         8.42%       3.290ms        92.36%      36.072ms       1.288ms       0.000us         0.00%       4.989ms     178.184us           0 b           0 b       8.58 Mb    -131.97 Mb            28            --  
                                           aten::linear         1.53%     596.840us        21.49%       8.392ms      42.386us       0.000us         0.00%       4.205ms      21.235us           0 b           0 b     649.96 Mb           0 b           198            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us       3.761ms        12.06%       3.761ms     134.314us           0 b           0 b           0 b           0 b            28            --  
                                           aten::matmul         0.89%     348.767us        10.80%       4.219ms      37.011us       0.000us         0.00%       3.518ms      30.856us           0 b           0 b     590.68 Mb           0 b           114            --  
                                               aten::mm         6.99%       2.729ms         9.91%       3.870ms      33.951us       3.518ms        11.28%       3.518ms      30.856us           0 b           0 b     590.68 Mb     590.68 Mb           114   1275667.415  
                                              mixed/mlp         3.75%       1.465ms        14.70%       5.740ms     204.984us       0.000us         0.00%       3.410ms     121.803us           0 b           0 b      45.06 Mb      -1.02 Gb            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.967ms         6.31%       1.967ms      35.129us           0 b           0 b           0 b           0 b            56            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us       1.417ms         4.54%       1.417ms      16.869us           0 b           0 b           0 b           0 b            84            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us     886.495us         2.84%     886.495us      31.661us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us     729.024us         2.34%     729.024us      26.037us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     696.480us         2.23%     696.480us      24.874us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         4.18%       1.633ms        14.22%       5.554ms     198.352us       0.000us         0.00%     686.975us      24.535us           0 b           0 b      45.57 Mb     -13.71 Mb            28            --  
                                            aten::addmm         5.01%       1.955ms         7.29%       2.846ms      33.885us     686.975us         2.20%     686.975us       8.178us           0 b           0 b      59.28 Mb     -24.72 Mb            84     91603.599  
                                mixed/output_projection         2.99%       1.167ms        11.33%       4.423ms     157.972us       0.000us         0.00%     634.689us      22.667us           0 b           0 b      46.67 Mb    -133.58 Mb            28            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us     632.576us         2.03%     632.576us     632.576us           0 b           0 b           0 b           0 b             1            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     444.448us         1.43%     444.448us      15.873us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us     444.448us         1.43%     444.448us      15.873us           0 b           0 b           0 b           0 b            28            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     433.120us         1.39%     433.120us       7.734us           0 b           0 b           0 b           0 b            56            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us     353.696us         1.13%     353.696us      12.632us           0 b           0 b           0 b           0 b            28            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     346.592us         1.11%     346.592us     346.592us           0 b           0 b           0 b           0 b             1            --  
                           mixed/final_norm_and_lm_head         0.27%     106.162us         0.63%     246.509us     246.509us       0.000us         0.00%     336.960us     336.960us           0 b           0 b       2.90 Mb      -1.62 Mb             1            --  
                                              aten::mul         0.56%     219.538us         0.82%     320.257us      11.438us     230.304us         0.74%     230.304us       8.225us           0 b           0 b     248.83 Mb     248.83 Mb            28       130.458  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     230.304us         0.74%     230.304us       8.225us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     211.998us         0.68%     211.998us       3.786us           0 b           0 b           0 b           0 b            56            --  
                                             aten::silu         0.62%     242.572us         0.95%     369.806us      13.207us     204.639us         0.66%     204.639us       7.309us           0 b           0 b     248.83 Mb     248.83 Mb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     204.639us         0.66%     204.639us       7.309us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         1.01%     395.952us         1.37%     534.765us      19.099us     182.815us         0.59%     182.815us       6.529us           0 b           0 b      45.06 Mb      45.06 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     182.815us         0.59%     182.815us       6.529us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/kv_cache_write         2.51%     980.862us         5.71%       2.228ms      79.576us       0.000us         0.00%     181.183us       6.471us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.45%     566.700us         2.22%     865.200us      15.450us     181.183us         0.58%     181.183us       3.235us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     181.183us         0.58%     181.183us       3.235us           0 b           0 b           0 b           0 b            56            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     168.288us         0.54%     168.288us     168.288us           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     164.288us         0.53%     164.288us     164.288us           0 b           0 b           0 b           0 b             1            --  
                                              aten::add         1.02%     398.429us         1.55%     603.632us      10.779us     147.008us         0.47%     147.008us       2.625us           0 b           0 b      90.12 Mb      90.12 Mb            56        44.728  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.008us         0.47%     147.008us       2.625us           0 b           0 b           0 b           0 b            56            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     117.441us         0.38%     117.441us       2.060us           0 b           0 b           0 b           0 b            57            --  
                                            aten::copy_         0.70%     274.989us         2.53%     989.187us      24.730us     110.916us         0.36%     110.916us       2.773us           0 b           0 b           0 b           0 b            40            --  
                                          aten::reshape         0.51%     199.307us         2.36%     920.465us      10.829us       0.000us         0.00%      96.899us       1.140us           0 b           0 b      45.06 Mb           0 b            85            --  
                                            aten::clone         0.25%      96.017us         1.53%     599.105us      21.397us       0.000us         0.00%      96.899us       3.461us           0 b           0 b      45.06 Mb           0 b            28            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      96.899us         0.31%      96.899us       3.461us           0 b           0 b           0 b           0 b            28            --  
                                   prefill/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us      88.800us         0.28%      88.800us      88.800us           0 b           0 b           0 b           0 b             1            --  
                                         cuLaunchKernel         1.91%     747.486us         1.91%     747.486us       4.423us      75.809us         0.24%      75.809us       0.449us           0 b           0 b           0 b           0 b           169            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      58.114us         0.19%      58.114us       2.076us           0 b           0 b           0 b           0 b            28            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      57.247us         0.18%      57.247us       2.045us           0 b           0 b           0 b           0 b            28            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      56.995us         0.18%      56.995us       0.950us           0 b           0 b           0 b           0 b            60            --  
                                 mixed/decode_attention         6.39%       2.495ms         8.38%       3.274ms     116.924us       0.000us         0.00%      39.456us       1.409us           0 b           0 b      24.00 Kb    -648.00 Kb            28            --  
                                    decode/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us      20.896us         0.07%      20.896us      20.896us           0 b           0 b           0 b           0 b             1            --  
                                           aten::argmax         0.10%      39.336us         0.15%      58.376us      29.188us      19.200us         0.06%      19.200us       9.600us           0 b           0 b       1.00 Kb       1.00 Kb             2            --  
