CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               mixed/profiled_iteration         0.98%       1.534ms       100.00%     155.827ms     155.827ms       0.000us         0.00%      83.356ms      83.356ms           0 b           0 b           0 b    -307.77 Mb             1            --  
                                            mixed/layer         2.26%       3.524ms        26.64%      41.519ms       1.483ms       0.000us         0.00%      82.795ms       2.957ms           0 b           0 b     256.12 Mb      -3.85 Gb            28            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us      65.709ms        45.07%      65.709ms       2.347ms           0 b           0 b           0 b           0 b            28            --  
                                              mixed/mlp         1.00%       1.566ms         3.98%       6.196ms     221.272us       0.000us         0.00%      65.329ms       2.333ms           0 b           0 b       1.31 Gb     -31.95 Gb            28            --  
                                           aten::linear         0.46%     709.620us         6.13%       9.560ms      48.281us       0.000us         0.00%      58.382ms     294.858us           0 b           0 b      19.70 Gb           0 b           198            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      56.997ms        39.10%      56.997ms       2.036ms           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us      56.997ms        39.10%      56.997ms       2.036ms           0 b           0 b           0 b           0 b            28            --  
                                           aten::matmul         0.28%     428.894us         3.07%       4.787ms      41.990us       0.000us         0.00%      53.701ms     471.064us           0 b           0 b      17.95 Gb           0 b           114            --  
                                               aten::mm         1.94%       3.030ms         2.80%       4.358ms      38.227us      53.701ms        36.84%      53.701ms     471.064us           0 b           0 b      17.95 Gb      17.95 Gb           114     40070.496  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      42.321ms        29.03%      42.321ms     251.912us           0 b           0 b           0 b           0 b           168            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x25...         0.00%       0.000us         0.00%       0.000us       0.000us      15.585ms        10.69%      15.585ms     556.618us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us      10.990ms         7.54%      10.990ms     392.501us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.88%       1.369ms         3.33%       5.186ms     185.222us       0.000us         0.00%      10.806ms     385.918us           0 b           0 b       1.36 Gb      -3.89 Gb            28            --  
                                              aten::mul         0.15%     234.262us         0.22%     337.392us      12.050us       7.844ms         5.38%       7.844ms     280.137us           0 b           0 b       7.66 Gb       7.66 Gb            28         4.112  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.844ms         5.38%       7.844ms     280.137us           0 b           0 b           0 b           0 b            28            --  
                                             aten::silu         0.17%     263.686us         0.25%     397.233us      14.187us       5.893ms         4.04%       5.893ms     210.463us           0 b           0 b       7.66 Gb       7.66 Gb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.893ms         4.04%       5.893ms     210.463us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us       4.848ms         3.33%       4.848ms     173.133us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         1.16%       1.804ms         4.01%       6.253ms     223.328us       0.000us         0.00%       4.681ms     167.161us           0 b           0 b       1.33 Gb    -432.21 Mb            28            --  
