regime,decode_requests,decode_context,prefill_requests,prefill_query,prefill_prefix,metadata_bytes,variant,median_wall_ms,speedup_vs_current,status
launch-bound,8,128,2,256,0,10852,current-python-to-device,0.18439,1.0,ok
launch-bound,8,128,2,256,0,10852,prebuilt-pageable-new-device,0.09751950000000001,1.8908013269141042,ok
launch-bound,8,128,2,256,0,10852,pinned-reused-device,0.038653,4.770392983727007,ok
decode-heavy-low,8,8192,2,256,0,26980,current-python-to-device,0.3256365,1.0,ok
decode-heavy-low,8,8192,2,256,0,26980,prebuilt-pageable-new-device,0.1011675,3.2187856772184746,ok
decode-heavy-low,8,8192,2,256,0,26980,pinned-reused-device,0.038580500000000004,8.440442710695818,ok
balanced-fresh,32,2048,2,2048,0,100132,current-python-to-device,0.7041345,1.0,ok
balanced-fresh,32,2048,2,2048,0,100132,prebuilt-pageable-new-device,0.1077945,6.532193200951811,ok
balanced-fresh,32,2048,2,2048,0,100132,pinned-reused-device,0.0385415,18.269514678982397,ok
balanced-resumed,32,2048,2,2048,4096,102180,current-python-to-device,0.7136534999999999,1.0,ok
balanced-resumed,32,2048,2,2048,4096,102180,prebuilt-pageable-new-device,0.107419,6.643643117139425,ok
balanced-resumed,32,2048,2,2048,4096,102180,pinned-reused-device,0.038489999999999996,18.541270459859703,ok
decode-heavy-high,64,8192,2,256,0,143012,current-python-to-device,1.324198,1.0,ok
decode-heavy-high,64,8192,2,256,0,143012,prebuilt-pageable-new-device,0.1078885,12.273764117584358,ok
decode-heavy-high,64,8192,2,256,0,143012,pinned-reused-device,0.038533,34.365297277658115,ok
long-fresh-prefill,8,128,2,8192,0,332260,current-python-to-device,1.7982770000000001,1.0,ok
long-fresh-prefill,8,128,2,8192,0,332260,prebuilt-pageable-new-device,0.12497,14.389669520684965,ok
long-fresh-prefill,8,128,2,8192,0,332260,pinned-reused-device,0.04997,35.98713227936762,ok
prefill-heavy,8,128,2,4096,16384,174564,current-python-to-device,1.046388,1.0,ok
prefill-heavy,8,128,2,4096,16384,174564,prebuilt-pageable-new-device,0.1145495,9.1348107150184,ok
prefill-heavy,8,128,2,4096,16384,174564,pinned-reused-device,0.038612,27.100072516316175,ok
dual-heavy,64,8192,2,4096,16384,306724,current-python-to-device,2.1848845,1.0,ok
dual-heavy,64,8192,2,4096,16384,306724,prebuilt-pageable-new-device,0.12572149999999999,17.378765764010133,ok
dual-heavy,64,8192,2,4096,16384,306724,pinned-reused-device,0.0482075,45.32250168542239,ok
