-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           python/model_callback_decode         0.00%       0.000us         0.00%       0.000us       0.000us       5.711ms       119.59%       5.711ms       5.711ms             1  
                                    cpp/callback_decode         0.78%      58.842us        14.88%       1.129ms       1.129ms       4.730ms        99.05%       4.739ms       4.739ms             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.718ms        56.91%       2.718ms      97.066us            28  
                     nvjet_hsh_144x64_64x8_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     656.479us        13.75%     656.479us      23.446us            28  
              nvjet_hsh_64x64_64x13_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     354.238us         7.42%     354.238us      12.651us            28  
               nvjet_hsh_384x64_64x3_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     175.392us         3.67%     175.392us     175.392us             1  
                nvjet_hsh_64x32_64x16_4x2_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     173.857us         3.64%     173.857us       6.209us            28  
                                 experiment/target_step         0.00%       0.000us         0.00%       0.000us       0.000us     171.008us         3.58%     171.008us      85.504us             2  
                     nvjet_hsh_24x64_64x16_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     144.641us         3.03%     144.641us       5.166us            28  
                          _residual_add_rms_norm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.602us         2.46%     117.602us       2.100us            56  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us      97.311us         2.04%      97.311us       3.475us            28  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      86.815us         1.82%      86.815us       3.101us            28  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      79.744us         1.67%      79.744us       2.848us            28  
                          _native_decode_rope_kv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      66.143us         1.38%      66.143us       2.362us            28  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      55.807us         1.17%      55.807us       1.993us            28  
                                           aten::argmax         0.22%      16.910us         0.44%      33.229us      33.229us      25.024us         0.52%      25.024us      25.024us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      24.192us         0.51%      24.192us      24.192us             1  
                                            aten::copy_         1.00%      75.537us        65.33%       4.954ms     353.877us      17.214us         0.36%      23.294us       1.664us            14  
