pattern,batch_size,max_prompt_length,total_prompt_tokens,causal_attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup,triton_pairs_per_second,max_abs_error,status,error
uniform,1,128,128,8256,32,32,4,2,0.09112000092864037,0.05635199882090092,1.6169790395233332,146507669.16430753,0.00048828125,ok,
uniform,1,128,128,8256,64,32,4,2,0.09112000092864037,0.052112000063061714,1.7485416184060165,158428001.03640732,0.00048828125,ok,
uniform,1,128,128,8256,64,64,4,2,0.09112000092864037,0.050495998933911324,1.804499422774017,163498102.31114295,0.00048828125,ok,
uniform,1,128,128,8256,128,64,4,2,0.09112000092864037,0.05571199953556061,1.6355543094531917,148190696.2382538,0.00048828125,ok,
uniform,1,256,256,32896,32,32,4,2,0.06551999971270561,0.05487999878823757,1.1938775721465307,599416922.8562483,0.00048828125,ok,
uniform,1,256,256,32896,64,32,4,2,0.06551999971270561,0.05355199985206127,1.2234837147764086,614281447.7680762,0.00048828125,ok,
uniform,1,256,256,32896,64,64,4,2,0.06551999971270561,0.05153599940240383,1.2713443121789836,638311090.9161025,0.00048828125,ok,
uniform,1,256,256,32896,128,64,4,2,0.06551999971270561,0.061984000727534294,1.057046962823756,530717598.31383497,0.00048828125,ok,
uniform,1,512,512,131328,32,32,4,2,0.06518400087952614,0.06870400160551071,0.9487657102391801,1911504380.109735,0.0009765625,ok,
uniform,1,512,512,131328,64,32,4,2,0.06518400087952614,0.06304000318050385,1.0340101140680995,2083248625.8600848,0.0009765625,ok,
uniform,1,512,512,131328,64,64,4,2,0.06518400087952614,0.06143999844789505,1.0609375411167408,2137500053.9977934,0.00048828125,ok,
uniform,1,512,512,131328,128,64,4,2,0.06518400087952614,0.08027200028300285,0.8120390752655566,1636037466.8252532,0.00048828125,ok,
uniform,1,2048,2048,2098176,32,32,4,2,0.1541920006275177,0.20308800041675568,0.7592373764629186,10331363722.594862,0.00048828125,ok,
uniform,1,2048,2048,2098176,64,32,4,2,0.1541920006275177,0.14150400459766388,1.0896652788444356,14827679301.131517,0.00048828125,ok,
uniform,1,2048,2048,2098176,64,64,4,2,0.1541920006275177,0.13913600146770477,1.1082106643930516,15080036639.453184,0.00048828125,ok,
uniform,1,2048,2048,2098176,128,64,4,2,0.1541920006275177,0.19838400185108185,0.7772400959189384,10576336702.669243,0.00048828125,ok,
uniform,1,4096,4096,8390656,32,32,4,2,0.341279998421669,0.6055519878864288,0.5635849691664723,13856210809.060486,0.00048828125,ok,
uniform,1,4096,4096,8390656,64,32,4,2,0.341279998421669,0.36345599591732025,0.9389857431305222,23085754793.56991,0.00048828125,ok,
uniform,1,4096,4096,8390656,64,64,4,2,0.341279998421669,0.35999999940395355,0.9479999971853362,23307377816.367443,0.00048828125,ok,
uniform,1,4096,4096,8390656,128,64,4,2,0.341279998421669,0.4440159946680069,0.7686209562717349,18897193120.877857,0.00048828125,ok,
uniform,1,8192,8192,33558528,32,32,4,2,0.900303989648819,2.0106719732284546,0.44776273884359036,16690205287.994555,0.00048828125,ok,
uniform,1,8192,8192,33558528,64,32,4,2,0.900303989648819,1.0350560545921326,0.8698118190358173,32421942609.884884,0.00048828125,ok,
uniform,1,8192,8192,33558528,64,64,4,2,0.900303989648819,1.0487840175628662,0.8584264963733136,31997558542.112732,0.00048828125,ok,
uniform,1,8192,8192,33558528,128,64,4,2,0.900303989648819,1.2179999947547913,0.7391658403332496,27552157754.118896,0.00048828125,ok,
uniform,1,16384,16384,134225920,32,32,4,2,2.904879927635193,7.571264028549194,0.38367172465280225,17728336971.722324,0.0009765625,ok,
uniform,1,16384,16384,134225920,64,32,4,2,2.904879927635193,3.580623984336853,0.8112775707090029,37486739905.43556,0.0009765625,ok,
uniform,1,16384,16384,134225920,64,64,4,2,2.904879927635193,3.6871360540390015,0.7878418059602381,36403842449.19978,0.0009765625,ok,
uniform,1,16384,16384,134225920,128,64,4,2,2.904879927635193,4.046144008636475,0.7179378493288279,33173787120.15574,0.0009765625,ok,
uniform,2,128,256,16512,32,32,4,2,0.11123199760913849,0.0544000007212162,2.0447058112952856,303529407.740619,0.0009765625,ok,
uniform,2,128,256,16512,64,32,4,2,0.11123199760913849,0.049456000328063965,2.24911025702213,333872530.9460622,0.0009765625,ok,
uniform,2,128,256,16512,64,64,4,2,0.11123199760913849,0.04982399940490723,2.2324983730266967,331406555.01801634,0.0009765625,ok,
uniform,2,128,256,16512,128,64,4,2,0.11123199760913849,0.053120000287890434,2.093975847257208,310843371.80932164,0.0009765625,ok,
uniform,2,256,512,65792,32,32,4,2,0.11329600214958191,0.05524799972772598,2.0506806166364204,1190848543.3723776,0.00048828125,ok,
uniform,2,256,512,65792,64,32,4,2,0.11329600214958191,0.05443199910223484,2.0814227663545477,1208700784.1918256,0.00048828125,ok,
uniform,2,256,512,65792,64,64,4,2,0.11329600214958191,0.051920000463724136,2.1821263701401628,1267180266.0319324,0.00048828125,ok,
uniform,2,256,512,65792,128,64,4,2,0.11329600214958191,0.06180799938738346,1.8330313757527705,1064457685.9323126,0.00048828125,ok,
uniform,2,512,1024,262656,32,32,4,2,0.11686399951577187,0.06905600056052208,1.692307671559257,3803521748.552509,0.0009765625,ok,
uniform,2,512,1024,262656,64,32,4,2,0.11686399951577187,0.06548800319433212,1.7845100448243054,4010749865.4460797,0.0009765625,ok,
uniform,2,512,1024,262656,64,64,4,2,0.11686399951577187,0.06280000135302544,1.8608916719416895,4182420292.0553975,0.0009765625,ok,
uniform,2,512,1024,262656,128,64,4,2,0.11686399951577187,0.07889600098133087,1.481241102998685,3329142120.424484,0.0009765625,ok,
uniform,2,2048,4096,4196352,32,32,4,2,0.2921600043773651,0.31276799738407135,0.9341109282948789,13416820247.267765,0.00048828125,ok,
uniform,2,2048,4096,4196352,64,32,4,2,0.2921600043773651,0.19304000586271286,1.5134686878591628,21738250479.45959,0.00048828125,ok,
uniform,2,2048,4096,4196352,64,64,4,2,0.2921600043773651,0.19076799601316452,1.5314938065250931,21997148828.41469,0.00048828125,ok,
uniform,2,2048,4096,4196352,128,64,4,2,0.2921600043773651,0.23374400287866592,1.249914439640286,17952768620.02865,0.00048828125,ok,
uniform,2,4096,8192,16781312,32,32,4,2,0.6542879939079285,1.0147039890289307,0.6448067623485747,16538135437.961248,0.00048828125,ok,
uniform,2,4096,8192,16781312,64,32,4,2,0.6542879939079285,0.5427840054035187,1.205429760999525,30917108523.71998,0.00048828125,ok,
uniform,2,4096,8192,16781312,64,64,4,2,0.6542879939079285,0.5476959943771362,1.1946189138228285,30639829708.96919,0.00048828125,ok,
uniform,2,4096,8192,16781312,128,64,4,2,0.6542879939079285,0.6274559795856476,1.0427631821119945,26745002910.135395,0.00048828125,ok,
uniform,2,8192,16384,67117056,32,32,4,2,1.7967680096626282,3.850848078727722,0.46659020894334025,17429162259.284645,0.00048828125,ok,
uniform,2,8192,16384,67117056,64,32,4,2,1.7967680096626282,1.8853279948234558,0.9530267489773733,35599670818.17236,0.00048828125,ok,
uniform,2,8192,16384,67117056,64,64,4,2,1.7967680096626282,1.9584800004959106,0.9174298482535768,34269972623.159363,0.00048828125,ok,
uniform,2,8192,16384,67117056,128,64,4,2,1.7967680096626282,2.164896011352539,0.8299558039926733,31002438753.660038,0.00048828125,ok,
uniform,2,16384,32768,268451840,32,32,4,2,5.897631883621216,14.765696048736572,0.39941441731938176,18180777872.843327,0.00048828125,ok,
uniform,2,16384,32768,268451840,64,32,4,2,5.897631883621216,6.88700795173645,0.8563416689731309,38979458406.50788,0.00048828125,ok,
uniform,2,16384,32768,268451840,64,64,4,2,5.897631883621216,7.2471840381622314,0.8137825467885813,37042227517.11367,0.00048828125,ok,
uniform,2,16384,32768,268451840,128,64,4,2,5.897631883621216,7.565616130828857,0.7795309438961842,35483143125.130974,0.00048828125,ok,
uniform,4,128,512,33024,32,32,4,2,0.1897919997572899,0.05515200085937977,3.441253205685134,598781539.842966,0.0009765625,ok,
uniform,4,128,512,33024,64,32,4,2,0.1897919997572899,0.04926399886608124,3.852549612816015,670347530.8566021,0.0009765625,ok,
uniform,4,128,512,33024,64,64,4,2,0.1897919997572899,0.049456000328063965,3.837592981606153,667745061.8921244,0.00048828125,ok,
uniform,4,128,512,33024,128,64,4,2,0.1897919997572899,0.05430399999022484,3.4949911570317838,608131997.752368,0.00048828125,ok,
uniform,4,256,1024,131584,32,32,4,2,0.21220800280570984,0.05947199836373329,3.5682003067701977,2212537053.072046,0.0009765625,ok,
uniform,4,256,1024,131584,64,32,4,2,0.21220800280570984,0.05456000007688999,3.8894428611922764,2411730201.8798037,0.0009765625,ok,
uniform,4,256,1024,131584,64,64,4,2,0.21220800280570984,0.05443200096487999,3.8985890476932554,2417401485.6609654,0.00048828125,ok,
uniform,4,256,1024,131584,128,64,4,2,0.21220800280570984,0.062224000692367554,3.410388281763751,2114682414.1145298,0.00048828125,ok,
uniform,4,512,2048,525312,32,32,4,2,0.2147040069103241,0.08515200018882751,2.521420594163502,6169109343.704228,0.0009765625,ok,
uniform,4,512,2048,525312,64,32,4,2,0.2147040069103241,0.0698080025613308,3.0756360163964422,7525097133.935036,0.0009765625,ok,
uniform,4,512,2048,525312,64,64,4,2,0.2147040069103241,0.07104000076651573,3.0222973619606646,7394594514.807531,0.00048828125,ok,
uniform,4,512,2048,525312,128,64,4,2,0.2147040069103241,0.08555199950933456,2.5096316642710117,6140265604.694409,0.00048828125,ok,
uniform,4,2048,8192,8392704,32,32,4,2,0.558896005153656,0.5433279871940613,1.0286530757231807,15446846468.084414,0.0009765625,ok,
uniform,4,2048,8192,8392704,64,32,4,2,0.558896005153656,0.3030240088701248,1.8443951264376452,27696498476.452694,0.0009765625,ok,
uniform,4,2048,8192,8392704,64,64,4,2,0.558896005153656,0.3110560029745102,1.796769712878537,26981327862.969254,0.0009765625,ok,
uniform,4,2048,8192,8392704,128,64,4,2,0.558896005153656,0.3524480015039444,1.585754502135831,23812602041.11577,0.0009765625,ok,
uniform,4,4096,16384,33562624,32,32,4,2,1.276703953742981,1.958240032196045,0.6519649954818034,17139177755.630701,0.0009765625,ok,
uniform,4,4096,16384,33562624,64,32,4,2,1.276703953742981,0.9842240214347839,1.2971680490807622,34100594243.85214,0.0009765625,ok,
uniform,4,4096,16384,33562624,64,64,4,2,1.276703953742981,1.021951973438263,1.249279796826096,32841684220.327545,0.0009765625,ok,
uniform,4,4096,16384,33562624,128,64,4,2,1.276703953742981,1.1304960250854492,1.1293307764142564,29688405138.322487,0.0009765625,ok,
uniform,4,8192,32768,134234112,32,32,4,2,3.61788809299469,7.604207992553711,0.4757744786225527,17652609204.199364,0.0009765625,ok,
uniform,4,8192,32768,134234112,64,32,4,2,3.61788809299469,3.605631947517395,1.0033991670962794,37229011156.400734,0.0009765625,ok,
uniform,4,8192,32768,134234112,64,64,4,2,3.61788809299469,3.7745919227600098,0.9584845639020133,35562549474.7117,0.00048828125,ok,
uniform,4,8192,32768,134234112,128,64,4,2,3.61788809299469,3.948448061943054,0.916281039091168,33996676642.098873,0.00048828125,ok,
uniform,4,16384,65536,536903680,32,32,4,2,11.568351745605469,29.878799438476562,0.3871759228286887,17969385989.070225,0.0009765625,ok,
uniform,4,16384,65536,536903680,64,32,4,2,11.568351745605469,14.193296432495117,0.8150574322621827,37827976224.80254,0.0009765625,ok,
uniform,4,16384,65536,536903680,64,64,4,2,11.568351745605469,14.934592247009277,0.7746011109156385,35950340733.776474,0.00048828125,ok,
uniform,4,16384,65536,536903680,128,64,4,2,11.568351745605469,14.954095840454102,0.7735908522339776,35903453189.56416,0.00048828125,ok,
uniform,8,128,1024,66048,32,32,4,2,0.44673600792884827,0.061055999249219894,7.316824119204898,1081761019.5912712,0.0009765625,ok,
uniform,8,128,1024,66048,64,32,4,2,0.44673600792884827,0.056064000353217125,7.968322009030759,1178082184.3586116,0.0009765625,ok,
uniform,8,128,1024,66048,64,64,4,2,0.44673600792884827,0.05681600049138069,7.8628556052026335,1162489429.5405369,0.00048828125,ok,
uniform,8,128,1024,66048,128,64,4,2,0.44673600792884827,0.0545439999550581,8.190378562205549,1210912291.992166,0.00048828125,ok,
uniform,8,256,2048,263168,32,32,4,2,0.3956800103187561,0.06732799857854843,5.876901418020539,3908745329.671046,0.0009765625,ok,
uniform,8,256,2048,263168,64,32,4,2,0.3956800103187561,0.056784000247716904,6.968160196404358,4634544922.019317,0.0009765625,ok,
uniform,8,256,2048,263168,64,64,4,2,0.3956800103187561,0.0598399993032217,6.612299714673513,4397861013.775637,0.0009765625,ok,
uniform,8,256,2048,263168,128,64,4,2,0.3956800103187561,0.06673600152134895,5.9290338243021266,3943418754.505574,0.0009765625,ok,
uniform,8,512,4096,1050624,32,32,4,2,0.4010559916496277,0.11804799735546112,3.397397674117121,8899973091.762037,0.0009765625,ok,
uniform,8,512,4096,1050624,64,32,4,2,0.4010559916496277,0.08500799909234047,4.717861800440428,12359119273.690386,0.0009765625,ok,
uniform,8,512,4096,1050624,64,64,4,2,0.4010559916496277,0.0886240005493164,4.525365467184625,11854847371.907585,0.0009765625,ok,
uniform,8,512,4096,1050624,128,64,4,2,0.4010559916496277,0.10553599894046783,3.8001818874700826,9955124417.713146,0.0009765625,ok,
uniform,8,2048,16384,16785408,32,32,4,2,1.095744013786316,1.010320007801056,1.0845514345214087,16613951886.920612,0.0009765625,ok,
uniform,8,2048,16384,16785408,64,32,4,2,1.095744013786316,0.5353440046310425,2.0468035586603786,31354433513.397526,0.0009765625,ok,
uniform,8,2048,16384,16785408,64,64,4,2,1.095744013786316,0.5602239966392517,1.9559033892864548,29961958253.653183,0.00048828125,ok,
uniform,8,2048,16384,16785408,128,64,4,2,1.095744013786316,0.6228640079498291,1.759202650660426,26948752513.810432,0.00048828125,ok,
uniform,8,4096,32768,67125248,32,32,4,2,2.601952075958252,3.884992003440857,0.6697445126408901,17278091677.03526,0.0009765625,ok,
uniform,8,4096,32768,67125248,64,32,4,2,2.601952075958252,1.8804159760475159,1.383710896472677,35697020688.524414,0.0009765625,ok,
uniform,8,4096,32768,67125248,64,64,4,2,2.601952075958252,1.9980480074882507,1.302247026200922,33595412997.29993,0.0009765625,ok,
uniform,8,4096,32768,67125248,128,64,4,2,2.601952075958252,2.108496069908142,1.234032215232731,31835604987.835876,0.0009765625,ok,
uniform,8,8192,65536,268468224,32,32,4,2,7.167216062545776,15.27785587310791,0.4691244715275469,17572375746.29552,0.0009765625,ok,
uniform,8,8192,65536,268468224,64,32,4,2,7.167216062545776,7.2500159740448,0.9885793477151708,37030018273.21781,0.0009765625,ok,
uniform,8,8192,65536,268468224,64,64,4,2,7.167216062545776,7.663712024688721,0.935214689625148,35031095001.36841,0.0009765625,ok,
uniform,8,8192,65536,268468224,128,64,4,2,7.167216062545776,7.638319969177246,0.9383236224022422,35147548817.45518,0.0009765625,ok,
uniform,8,16384,131072,1073807360,32,32,4,2,23.56174373626709,60.10606384277344,0.392002773595362,17865208455.65408,0.0009765625,ok,
uniform,8,16384,131072,1073807360,64,32,4,2,23.56174373626709,29.219712257385254,0.8063646735710712,36749415960.7474,0.0009765625,ok,
uniform,8,16384,131072,1073807360,64,64,4,2,23.56174373626709,30.610000610351562,0.7697400609753362,35080278947.68693,0.00048828125,ok,
uniform,8,16384,131072,1073807360,128,64,4,2,23.56174373626709,29.61950397491455,0.79548069934669,36253387663.39343,0.00048828125,ok,
ramp,1,128,128,8256,32,32,4,2,0.06411200016736984,0.050064001232385635,1.2806008027559885,164908912.52733752,0.00048828125,ok,
ramp,1,128,128,8256,64,32,4,2,0.06411200016736984,0.04975999891757965,1.2884244686894435,165916402.32297608,0.00048828125,ok,
ramp,1,128,128,8256,64,64,4,2,0.06411200016736984,0.04918400011956692,1.3035133379048627,167859466.08510005,0.00048828125,ok,
