-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          python/model_callback_prefill         0.00%       0.000us         0.00%       0.000us       0.000us      54.821ms       101.53%      54.821ms      54.821ms             1  
                                   cpp/callback_prefill         0.11%      60.233us         8.41%       4.791ms       4.791ms      52.809ms        97.81%      53.963ms      53.963ms             1  
              nvjet_hsh_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      16.923ms        31.34%      16.923ms     604.388us            28  
              nvjet_hsh_128x256_64x4_2x1_v_bz_coopA_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       9.478ms        17.55%       9.478ms     169.256us            56  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.481ms        13.86%       7.481ms     267.180us            28  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.056ms        11.22%       6.056ms     216.293us            28  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.902ms        10.93%       5.902ms     210.782us            28  
         nvjet_hsh_128x256_64x4_2x1_v_bz_coopA_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       2.114ms         3.92%       2.114ms      75.501us            28  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.021ms         3.74%       2.021ms      36.091us            56  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.296ms         2.40%       1.296ms      23.145us            56  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.094ms         2.03%       1.094ms      19.193us            57  
                                            aten::copy_         0.38%     216.126us        91.93%      52.367ms     748.103us     994.666us         1.84%       1.002ms      14.311us            70  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     973.737us         1.80%     973.737us      16.504us            59  
                                 experiment/target_step         0.00%       0.000us         0.00%       0.000us       0.000us     350.979us         0.65%     350.979us     175.490us             2  
                                _masked_kv_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     329.057us         0.61%     329.057us      11.752us            28  
                                               aten::mm         0.14%      78.275us         0.16%      92.328us      92.328us     172.578us         0.32%     172.578us     172.578us             1  
                      nvjet_hsh_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     171.778us         0.32%     171.778us     171.778us             1  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      94.755us         0.18%      94.755us       0.846us           112  
