
NOTICE: Existing SQLite export found: experiments/results/profiles/nsys-dual-heavy.sqlite
        It is assumed file was previously exported from: experiments/results/profiles/nsys-dual-heavy.nsys-rep
        Consider using --force-export=true if needed.

Processing [experiments/results/profiles/nsys-dual-heavy.sqlite] with [/opt/nvidia/nsight-compute/2025.1.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     52.7        121325605         28  4333057.3  4336039.0   4305079   4377975      22957.6  _packed_paged_prefill_attention_kernel                                                              
     27.1         62435485         28  2229838.8  2250747.0   2185884   2279419      36176.3  decode_attention_kernel                                                                             
      9.9         22823922        168   135856.7    60224.0     13344    334592     140350.2  sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x128x64_warpgroupsize1x1x1_execute_segment_k_off_k…
      3.4          7890319         28   281797.1   282671.5    278559    286207       2289.0  sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x256x64_warpgroupsize2x1x1_execute_segment_k_off_k…
      1.7          3967481         28   141695.8   141711.5    140736    142720        609.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::Half, c10::Ha…
      1.3          2976987         28   106321.0   106256.0    105824    107072        333.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::Tenso…
      1.0          2197116         28    78468.4    79216.0     76512     80384       1455.8  void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>,…
      0.9          2039420         56    36418.2    36495.5     11424     61472      25169.7  rope_kernel                                                                                         
      0.6          1347069         56    24054.8    24096.0     22272     26016       1152.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::Half>, std:…
