pattern,batch_size,max_prompt_length,total_prompt_tokens,serial_median_ms,packed_sdpa_median_ms,packed_median_ms,serial_prompt_tokens_per_second,packed_sdpa_prompt_tokens_per_second,packed_prompt_tokens_per_second,speedup,packed_attention_speedup,tokens_match,admission_shape_match
uniform,1,128,128,17.508224487304688,17.37923240661621,15.889056205749512,7310.849829051113,7365.112394220061,8055.859224268004,1.1019046229422533,1.0937863257307552,True,True
uniform,1,512,512,17.919584274291992,17.82022476196289,15.870016098022461,28572.091414784187,28731.39967868752,32262.097079019317,1.1291472020954614,1.122886369610138,True,True
uniform,1,2048,2048,18.25494384765625,18.12771224975586,16.739776611328125,112188.78661535529,112976.19753576914,122343.32915853127,1.0905129901974189,1.082912434894053,True,True
uniform,1,4096,4096,33.50822448730469,33.556575775146484,32.75468826293945,122238.6462628558,122062.51398969267,125050.80088441724,1.0230054463750715,1.0244816102589605,True,True
uniform,2,128,256,34.54694366455078,19.58131217956543,15.8570556640625,7410.206890825079,13073.689732966683,16144.232915835904,2.178648066604568,1.2348643149398388,True,True
uniform,2,512,1024,36.071006774902344,19.983840942382812,16.035903930664062,28388.45076851261,51241.400637264145,63856.70582884286,2.249390301342907,1.2461936058477785,True,True
uniform,2,2048,4096,35.97024154663086,32.24435043334961,28.656160354614258,113871.90699539939,127030.00510016784,142936.10690730435,1.255235910935251,1.1252153126703723,True,True
uniform,2,4096,8192,66.7495346069336,66.05763244628906,62.02076721191406,122727.44743824861,124012.92169623017,132084.7897932216,1.0762449032412347,1.0650889277228988,True,True
uniform,4,128,512,70.18355560302734,22.80022430419922,16.246496200561523,7295.156188665868,22455.919431709393,31514.48741189524,4.319919491354795,1.403393323873192,True,True
uniform,4,512,2048,74.7074203491211,24.4270076751709,16.783071517944336,27413.608854774146,83841.62428874627,122027.72286409514,4.451355657350591,1.4554551381762106,True,True
uniform,4,2048,8192,76.66496276855469,63.28940963745117,54.59251022338867,106854.5487295283,129437.13722291424,150057.21419438158,1.404312834395178,1.159305724878292,True,True
uniform,4,4096,16384,134.73011779785156,127.89417266845703,117.85929870605469,121606.06899032387,128105.9148994428,139013.21473889204,1.1431437254168066,1.0851428276985566,True,True
uniform,8,128,1024,140.55967712402344,29.81782341003418,16.413759231567383,7285.161868268017,34341.8761966176,62386.683364443146,8.563527412641418,1.816635847361995,True,True
uniform,8,512,4096,143.98634338378906,32.239105224609375,26.01430320739746,28447.142303505116,127050.67251287613,157451.8436009947,5.5348914109236995,1.239283826577443,True,True
uniform,8,2048,16384,147.35052490234375,121.13314819335938,104.17766571044922,111190.64564485576,135256.12307084564,157269.7937534672,1.4144156897495566,1.1627554463548466,True,True
uniform,8,4096,32768,270.240478515625,256.103515625,236.7041015625,121254.96587331343,127948.26310772164,138434.44107514905,1.141680590795635,1.081956391690905,True,True
ramp,1,128,128,18.45465660095215,17.838848114013672,16.042816162109375,6935.918818093639,7175.351187582958,7978.64905429235,1.1503377221599762,1.1119524112073442,True,True
ramp,1,512,512,18.782207489013672,20.303775787353516,16.213760375976562,27259.841544157447,25216.984533433737,31578.11563310229,1.158411562369128,1.2522558195344373,True,True
ramp,1,2048,2048,20.17638397216797,18.727903366088867,16.8287353515625,101504.80893033583,109355.54076535712,121696.60745243398,1.1989245508156767,1.1128526876709148,True,True
ramp,1,4096,4096,33.5445442199707,33.6769905090332,32.76607894897461,122106.29463736912,121626.069850313,125007.32865774228,1.0237582675732537,1.0278004445230424,True,True
ramp,2,128,192,37.35676956176758,21.792896270751953,16.114879608154297,5139.630708231809,8810.210337103354,11914.454508418792,2.3181538100268937,1.3523462042946024,True,True
ramp,2,512,768,37.126625061035156,20.718048095703125,16.45088005065918,20685.963206659075,37069.129121255464,46684.43254312262,2.256816957312111,1.259388435871123,True,True
ramp,2,2048,3072,36.462528228759766,25.448448181152344,23.266464233398438,84250.87752354387,120714.62975393477,132035.53273858517,1.5671710090104152,1.0937823609924244,True,True
ramp,2,4096,6144,51.96905517578125,48.97062301635742,45.71984100341797,118224.20052122176,125462.97395374671,134383.66943447333,1.1366849497988434,1.071102216053123,True,True
ramp,4,128,320,71.89730834960938,23.297311782836914,15.986944198608398,4450.792489253718,13735.490299603725,20016.333079329488,4.497251473228245,1.4572711015570352,True,True
ramp,4,512,1280,76.47625732421875,24.002368927001953,16.588895797729492,16737.220737326086,53328.069570668,77160.04823993122,4.610087269020401,1.4468937064688259,True,True
ramp,4,2048,5120,76.3828125,38.9977912902832,34.865726470947266,67030.78653983839,131289.48667602395,146849.08413614635,2.1907707147203106,1.1185136590450535,True,True
ramp,4,4096,10240,96.200927734375,78.90751647949219,72.77446746826172,106443.87992051548,129772.17452612822,140708.69023488014,1.3219049356332286,1.0842747356949771,True,True
ramp,8,128,576,142.6313934326172,29.959135055541992,16.30067253112793,4038.3816363128885,19226.189238512365,35335.96536585007,8.750031212531068,1.8379079144330839,True,True
ramp,8,512,2304,143.3887939453125,31.880672454833984,17.182207107543945,16068.201263194456,72269.49190811848,134092.20279904644,8.345190640983303,1.8554468733435645,True,True
ramp,8,2048,9216,146.10467529296875,68.58019256591797,59.33091354370117,63078.06359734963,134382.82476593746,155332.17760437485,2.462538777282654,1.1558930828766707,True,True
ramp,8,4096,18432,182.17459106445312,138.73391723632812,125.04364776611328,101177.66639299759,132858.64312907538,147404.52897276287,1.456888009258974,1.1094839259313811,True,True
