CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               mixed/profiled_iteration         2.77%       1.886ms        99.99%      68.030ms      68.030ms       0.000us         0.00%      23.625ms      23.625ms           0 b           0 b           0 b     -86.56 Mb             1            --  
                                            mixed/layer         8.00%       5.441ms        83.65%      56.917ms       2.033ms       0.000us         0.00%      22.856ms     816.294us           0 b           0 b      64.50 Mb    -991.69 Mb            28            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us      17.687ms        47.09%      17.687ms     631.678us           0 b           0 b           0 b           0 b            28            --  
                                              mixed/mlp         3.14%       2.136ms        12.61%       8.578ms     306.365us       0.000us         0.00%      17.205ms     614.475us           0 b           0 b     338.62 Mb      -8.05 Gb            28            --  
                                           aten::linear         1.22%     830.127us        20.00%      13.606ms      68.716us       0.000us         0.00%      16.396ms      82.806us           0 b           0 b       4.97 Gb           0 b           198            --  
                                           aten::matmul         0.70%     475.885us        10.36%       7.052ms      61.860us       0.000us         0.00%      14.726ms     129.179us           0 b           0 b       4.53 Gb           0 b           114            --  
                                               aten::mm         7.01%       4.770ms         9.67%       6.576ms      57.686us      14.726ms        39.21%      14.726ms     129.179us           0 b           0 b       4.53 Gb       4.53 Gb           114  10105653.559  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      10.875ms        28.96%      10.875ms      64.733us           0 b           0 b           0 b           0 b           168            --  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.615ms        22.94%       8.615ms     307.681us           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us       8.615ms        22.94%       8.615ms     307.681us           0 b           0 b           0 b           0 b            28            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us       5.618ms        14.96%       5.618ms       5.618ms           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize256x12...         0.00%       0.000us         0.00%       0.000us       0.000us       5.090ms        13.55%       5.090ms     181.775us           0 b           0 b           0 b           0 b            28            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.687ms        12.48%       4.687ms     167.409us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us       4.687ms        12.48%       4.687ms     167.409us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.908ms        10.41%       3.908ms     139.565us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.355ms         8.93%       3.355ms     119.809us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         2.89%       1.970ms        10.71%       7.290ms     260.367us       0.000us         0.00%       2.838ms     101.350us           0 b           0 b     350.72 Mb   -1003.78 Mb            28            --  
                                              aten::mul         0.50%     340.483us         0.72%     487.687us      17.417us       2.011ms         5.36%       2.011ms      71.834us           0 b           0 b       1.93 Gb       1.93 Gb            28      1035.633  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         5.36%       2.011ms      71.834us           0 b           0 b           0 b           0 b            28            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.973ms         5.25%       1.973ms      70.475us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         4.27%       2.902ms        13.29%       9.045ms     323.038us       0.000us         0.00%       1.669ms      59.614us           0 b           0 b     342.66 Mb    -108.84 Mb            28            --  
                                            aten::addmm         4.54%       3.091ms         6.74%       4.583ms      54.556us       1.669ms         4.44%       1.669ms      19.871us           0 b           0 b     451.50 Mb     367.50 Mb            84    727191.650  
                                             aten::silu         0.56%     379.651us         0.83%     567.415us      20.265us       1.527ms         4.07%       1.527ms      54.536us           0 b           0 b       1.93 Gb       1.93 Gb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.527ms         4.07%       1.527ms      54.536us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us       1.407ms         3.75%       1.407ms       1.407ms           0 b           0 b           0 b           0 b             1            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us       1.140ms         3.03%       1.140ms      40.708us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         0.92%     625.801us         1.24%     841.059us      30.038us       1.077ms         2.87%       1.077ms      38.467us           0 b           0 b     338.62 Mb     338.62 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.077ms         2.87%       1.077ms      38.467us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.064ms         2.83%       1.064ms      18.995us           0 b           0 b           0 b           0 b            56            --  
                                         cuLaunchKernel         1.55%       1.058ms         1.55%       1.058ms       6.260us     844.798us         2.25%     844.798us       4.999us           0 b           0 b           0 b           0 b           169            --  
                                              aten::add         0.95%     649.038us         1.38%     941.148us      16.806us     617.824us         1.65%     617.824us      11.033us           0 b           0 b     677.25 Mb     677.25 Mb            56       355.074  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     617.824us         1.65%     617.824us      11.033us           0 b           0 b           0 b           0 b            56            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     506.272us         1.35%     506.272us     506.272us           0 b           0 b           0 b           0 b             1            --  
                                            aten::copy_         0.61%     412.683us         1.19%     811.279us      20.802us     447.071us         1.19%     447.071us      11.463us           0 b           0 b           0 b           0 b            39            --  
                                             mixed/rope         7.00%       4.766ms         8.19%       5.571ms     198.954us       0.000us         0.00%     441.504us      15.768us           0 b           0 b           0 b    -395.06 Mb            28            --  
                                          aten::reshape         0.51%     344.098us         2.15%       1.465ms      12.523us       0.000us         0.00%     430.815us       3.682us           0 b           0 b     338.62 Mb           0 b           117            --  
                                            aten::clone         0.22%     150.567us         1.34%     911.060us      32.538us       0.000us         0.00%     430.815us      15.386us           0 b           0 b     338.62 Mb           0 b            28            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     430.815us         1.15%     430.815us      15.386us           0 b           0 b           0 b           0 b            28            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     410.529us         1.09%     410.529us       7.202us           0 b           0 b           0 b           0 b            57            --  
                           mixed/final_norm_and_lm_head         0.18%     124.687us         1.06%     719.116us     719.116us       0.000us         0.00%     350.401us     350.401us           0 b           0 b       9.85 Mb     -12.10 Mb             1            --  
                                   mixed/kv_cache_write         2.40%       1.631ms         5.21%       3.542ms     126.506us       0.000us         0.00%     299.164us      10.684us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.32%     896.853us         1.92%       1.307ms      23.338us     299.164us         0.80%     299.164us       5.342us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     299.164us         0.80%     299.164us       5.342us           0 b           0 b           0 b           0 b            56            --  
                                           aten::argmax         0.56%     380.605us         0.92%     628.485us      19.045us     285.692us         0.76%     285.692us       8.657us           0 b           0 b      16.50 Kb      16.50 Kb            33            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     261.626us         0.70%     261.626us       7.928us           0 b           0 b           0 b           0 b            33            --  
                                 mixed/decode_attention         5.75%       3.911ms         7.46%       5.077ms     181.321us       0.000us         0.00%     218.400us       7.800us           0 b           0 b      96.00 Kb      -2.53 Mb            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     206.144us         0.55%     206.144us       7.362us           0 b           0 b           0 b           0 b            28            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     197.377us         0.53%     197.377us       7.049us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     176.897us         0.47%     176.897us     176.897us           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     168.993us         0.45%     168.993us     168.993us           0 b           0 b           0 b           0 b             1            --  
                                mixed/prefill_attention         5.50%       3.742ms         6.18%       4.206ms     150.209us       0.000us         0.00%     162.591us       5.807us           0 b           0 b      12.00 Mb    -324.00 Mb            28            --  
