CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               mixed/profiled_iteration         2.15%       1.272ms        99.99%      59.123ms      59.123ms       0.000us         0.00%      23.598ms      23.598ms           0 b           0 b           0 b     -86.56 Mb             1            --  
                                            mixed/layer         7.12%       4.211ms        75.06%      44.382ms       1.585ms       0.000us         0.00%      22.829ms     815.313us           0 b           0 b      64.50 Mb    -991.69 Mb            28            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.980ms        35.35%      17.980ms     642.158us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us      17.980ms        35.35%      17.980ms     642.158us           0 b           0 b           0 b           0 b            28            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us      17.495ms        34.40%      17.495ms     624.807us           0 b           0 b           0 b           0 b            28            --  
                                              mixed/mlp         2.83%       1.675ms        11.42%       6.755ms     241.240us       0.000us         0.00%      17.146ms     612.360us           0 b           0 b     338.62 Mb      -8.05 Gb            28            --  
                                           aten::linear         1.16%     684.091us        17.61%      10.416ms      52.604us       0.000us         0.00%      16.352ms      82.585us           0 b           0 b       4.97 Gb           0 b           198            --  
                                           aten::matmul         0.65%     384.372us         8.82%       5.215ms      45.742us       0.000us         0.00%      14.676ms     128.733us           0 b           0 b       4.53 Gb           0 b           114            --  
                                               aten::mm         5.78%       3.416ms         8.17%       4.830ms      42.370us      14.676ms        28.85%      14.676ms     128.733us           0 b           0 b       4.53 Gb       4.53 Gb           114  10105653.559  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      10.807ms        21.25%      10.807ms      64.327us           0 b           0 b           0 b           0 b           168            --  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.644ms        17.00%       8.644ms     308.721us           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us       8.644ms        17.00%       8.644ms     308.721us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize256x12...         0.00%       0.000us         0.00%       0.000us       0.000us       5.086ms        10.00%       5.086ms     181.645us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.052ms         6.00%       3.052ms     108.999us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         2.60%       1.535ms         9.80%       5.797ms     207.025us       0.000us         0.00%       2.871ms     102.526us           0 b           0 b     350.72 Mb   -1003.78 Mb            28            --  
                                              aten::mul         0.53%     313.154us         0.74%     436.763us      15.599us       2.013ms         3.96%       2.013ms      71.902us           0 b           0 b       1.93 Gb       1.93 Gb            28      1035.633  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.013ms         3.96%       2.013ms      71.902us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us       1.952ms         3.84%       1.952ms      69.713us           0 b           0 b           0 b           0 b            28            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us       1.858ms         3.65%       1.858ms       1.858ms           0 b           0 b           0 b           0 b             1            --  
                                   mixed/qkv_projection         3.17%       1.873ms        11.48%       6.786ms     242.346us       0.000us         0.00%       1.676ms      59.869us           0 b           0 b     342.66 Mb    -108.84 Mb            28            --  
                                            aten::addmm         4.18%       2.472ms         6.21%       3.672ms      43.715us       1.676ms         3.30%       1.676ms      19.956us           0 b           0 b     451.50 Mb     367.50 Mb            84    727191.650  
                                             aten::silu         0.52%     309.121us         0.77%     457.569us      16.342us       1.522ms         2.99%       1.522ms      54.339us           0 b           0 b       1.93 Gb       1.93 Gb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.522ms         2.99%       1.522ms      54.339us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us       1.420ms         2.79%       1.420ms       1.420ms           0 b           0 b           0 b           0 b             1            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.148ms         2.26%       1.148ms      40.991us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         0.84%     496.884us         1.15%     678.962us      24.249us       1.108ms         2.18%       1.108ms      39.579us           0 b           0 b     338.62 Mb     338.62 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.108ms         2.18%       1.108ms      39.579us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.064ms         2.09%       1.064ms      19.001us           0 b           0 b           0 b           0 b            56            --  
                                         cuLaunchKernel         1.47%     870.515us         1.47%     870.515us       5.151us     841.056us         1.65%     841.056us       4.977us           0 b           0 b           0 b           0 b           169            --  
                                              aten::add         0.87%     513.521us         1.25%     740.852us      13.230us     616.575us         1.21%     616.575us      11.010us           0 b           0 b     677.25 Mb     677.25 Mb            56       355.074  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     616.575us         1.21%     616.575us      11.010us           0 b           0 b           0 b           0 b            56            --  
                                            aten::copy_         0.59%     347.259us         1.11%     655.201us      16.800us     446.080us         0.88%     446.080us      11.438us           0 b           0 b           0 b           0 b            39            --  
                                             mixed/rope         6.44%       3.809ms         7.55%       4.464ms     159.444us       0.000us         0.00%     437.984us      15.642us           0 b           0 b           0 b    -395.06 Mb            28            --  
                                          aten::reshape         0.48%     284.271us         2.02%       1.197ms      10.228us       0.000us         0.00%     429.473us       3.671us           0 b           0 b     338.62 Mb           0 b           117            --  
                                            aten::clone         0.21%     125.345us         1.26%     742.508us      26.518us       0.000us         0.00%     429.473us      15.338us           0 b           0 b     338.62 Mb           0 b            28            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     429.473us         0.84%     429.473us      15.338us           0 b           0 b           0 b           0 b            28            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     416.738us         0.82%     416.738us       7.311us           0 b           0 b           0 b           0 b            57            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     366.208us         0.72%     366.208us     366.208us           0 b           0 b           0 b           0 b             1            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     360.412us         0.71%     360.412us      12.872us           0 b           0 b           0 b           0 b            28            --  
                           mixed/final_norm_and_lm_head         0.19%     115.220us         0.47%     278.501us     278.501us       0.000us         0.00%     350.624us     350.624us           0 b           0 b       9.85 Mb     -12.10 Mb             1            --  
                                   mixed/kv_cache_write         2.06%       1.216ms         4.62%       2.733ms      97.608us       0.000us         0.00%     294.587us      10.521us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.22%     724.070us         1.77%       1.045ms      18.659us     294.587us         0.58%     294.587us       5.260us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     294.587us         0.58%     294.587us       5.260us           0 b           0 b           0 b           0 b            56            --  
                                           aten::argmax         0.66%     387.596us         1.06%     624.175us      18.914us     285.888us         0.56%     285.888us       8.663us           0 b           0 b      16.50 Kb      16.50 Kb            33            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     261.824us         0.51%     261.824us       7.934us           0 b           0 b           0 b           0 b            33            --  
                                 mixed/decode_attention         5.10%       3.013ms         6.65%       3.933ms     140.451us       0.000us         0.00%     218.656us       7.809us           0 b           0 b      96.00 Kb      -2.53 Mb            28            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     205.249us         0.40%     205.249us       7.330us           0 b           0 b           0 b           0 b            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     204.097us         0.40%     204.097us       7.289us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     175.744us         0.35%     175.744us     175.744us           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     170.496us         0.34%     170.496us     170.496us           0 b           0 b           0 b           0 b             1            --  
                                mixed/prefill_attention         4.95%       2.926ms         5.59%       3.305ms     118.028us       0.000us         0.00%     162.496us       5.803us           0 b           0 b      12.00 Mb    -324.00 Mb            28            --  
