CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      63.110ms        90.12%      63.110ms       2.254ms           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us      63.110ms        90.12%      63.110ms       2.254ms           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         2.06%       1.670ms        99.99%      81.123ms      81.123ms       0.000us         0.00%       6.219ms       6.219ms           0 b           0 b           0 b     -30.55 Mb             1            --  
                                            mixed/layer         5.84%       4.739ms        60.33%      48.945ms       1.748ms       0.000us         0.00%       5.140ms     183.555us           0 b           0 b       9.50 Mb    -143.50 Mb            28            --  
                                           aten::linear         1.01%     821.219us        14.08%      11.419ms      57.673us       0.000us         0.00%       4.294ms      21.686us           0 b           0 b     733.13 Mb           0 b           198            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us       3.849ms         5.50%       3.849ms     137.452us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us       3.632ms         5.19%       3.632ms       3.632ms           0 b           0 b           0 b           0 b             1            --  
                                           aten::matmul         0.57%     461.673us         7.03%       5.703ms      50.023us       0.000us         0.00%       3.597ms      31.550us           0 b           0 b     668.38 Mb           0 b           114            --  
                                               aten::mm         4.56%       3.698ms         6.46%       5.241ms      45.974us       3.597ms         5.14%       3.597ms      31.550us           0 b           0 b     668.38 Mb     668.38 Mb           114   1438682.186  
                                              mixed/mlp         2.37%       1.921ms         9.59%       7.778ms     277.769us       0.000us         0.00%       3.520ms     125.721us           0 b           0 b      49.00 Mb      -1.13 Gb            28            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us       2.949ms         4.21%       2.949ms       2.949ms           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms         2.87%       2.010ms      35.893us           0 b           0 b           0 b           0 b            56            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us     957.984us         1.37%     957.984us      34.214us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     904.703us         1.29%     904.703us      32.311us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us     760.095us         1.09%     760.095us      27.146us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         2.72%       2.208ms         9.36%       7.596ms     271.291us       0.000us         0.00%     697.186us      24.899us           0 b           0 b      49.56 Mb     -15.19 Mb            28            --  
                                            aten::addmm         3.42%       2.776ms         4.86%       3.946ms      46.979us     697.186us         1.00%     697.186us       8.300us           0 b           0 b      64.75 Mb     -19.25 Mb            84    101468.602  
                                mixed/output_projection         1.98%       1.609ms         7.44%       6.040ms     215.712us       0.000us         0.00%     654.624us      23.379us           0 b           0 b      50.75 Mb    -145.25 Mb            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us     557.732us         0.80%     557.732us       9.960us           0 b           0 b           0 b           0 b            56            --  
                                           aten::argmax         1.14%     921.474us         1.88%       1.528ms      23.507us     557.380us         0.80%     557.380us       8.575us           0 b           0 b      32.50 Kb      32.50 Kb            65            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     510.019us         0.73%     510.019us       7.846us           0 b           0 b           0 b           0 b            65            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     443.039us         0.63%     443.039us      15.823us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us     443.039us         0.63%     443.039us      15.823us           0 b           0 b           0 b           0 b            28            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     415.518us         0.59%     415.518us       7.420us           0 b           0 b           0 b           0 b            56            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     360.896us         0.52%     360.896us     360.896us           0 b           0 b           0 b           0 b             1            --  
                           mixed/final_norm_and_lm_head         0.17%     135.405us         0.39%     313.623us     313.623us       0.000us         0.00%     350.528us     350.528us           0 b           0 b      19.13 Mb      -1.76 Mb             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     346.176us         0.49%     346.176us     173.088us           0 b           0 b           0 b           0 b             2            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us     336.962us         0.48%     336.962us      12.034us           0 b           0 b           0 b           0 b            28            --  
                                              aten::mul         0.39%     318.273us         0.56%     453.046us      16.180us     248.868us         0.36%     248.868us       8.888us           0 b           0 b     275.62 Mb     275.62 Mb            28       144.507  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     248.868us         0.36%     248.868us       8.888us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     245.185us         0.35%     245.185us       8.757us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     225.441us         0.32%     225.441us       4.026us           0 b           0 b           0 b           0 b            56            --  
                                             aten::silu         0.44%     356.889us         0.64%     519.197us      18.543us     223.586us         0.32%     223.586us       7.985us           0 b           0 b     284.38 Mb     284.38 Mb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.586us         0.32%     223.586us       7.985us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         0.65%     524.250us         0.88%     714.815us      25.529us     195.551us         0.28%     195.551us       6.984us           0 b           0 b      49.00 Mb      49.00 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     195.551us         0.28%     195.551us       6.984us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/kv_cache_write         1.76%       1.424ms         3.93%       3.185ms     113.755us       0.000us         0.00%     178.465us       6.374us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.03%     836.526us         1.50%       1.218ms      21.744us     178.465us         0.25%     178.465us       3.187us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     178.465us         0.25%     178.465us       3.187us           0 b           0 b           0 b           0 b            56            --  
                                              aten::add         0.67%     545.931us         1.00%     814.259us      14.540us     153.409us         0.22%     153.409us       2.739us           0 b           0 b      98.00 Mb      98.00 Mb            56        49.545  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     153.409us         0.22%     153.409us       2.739us           0 b           0 b           0 b           0 b            56            --  
                                             aten::item         0.18%     147.000us        28.18%      22.859ms     357.178us       0.000us         0.00%     145.600us       2.275us           0 b           0 b           0 b           0 b            64            --  
                              aten::_local_scalar_dense         0.32%     261.677us        27.99%      22.712ms     354.881us     145.600us         0.21%     145.600us       2.275us           0 b           0 b           0 b           0 b            64            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     145.600us         0.21%     145.600us       2.275us           0 b           0 b           0 b           0 b            64            --  
                                   prefill/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us     144.001us         0.21%     144.001us     144.001us           0 b           0 b           0 b           0 b             1            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     121.023us         0.17%     121.023us       2.123us           0 b           0 b           0 b           0 b            57            --  
                                            aten::copy_         0.46%     370.147us         0.86%     694.228us      17.801us     119.455us         0.17%     119.455us       3.063us           0 b           0 b           0 b           0 b            39            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     107.074us         0.15%     107.074us       0.871us           0 b           0 b           0 b           0 b           123            --  
                                          aten::reshape         0.44%     358.354us         1.71%       1.384ms       9.289us       0.000us         0.00%     104.511us       0.701us           0 b           0 b      49.00 Mb           0 b           149            --  
                                            aten::clone         0.17%     136.697us         1.01%     817.473us      29.195us       0.000us         0.00%     104.511us       3.733us           0 b           0 b      49.00 Mb           0 b            28            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     104.511us         0.15%     104.511us       3.733us           0 b           0 b           0 b           0 b            28            --  
