CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     121.904ms        52.46%     121.904ms       4.354ms           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us     121.904ms        52.46%     121.904ms       4.354ms           0 b           0 b           0 b           0 b            28            --  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      63.495ms        27.32%      63.495ms       2.268ms           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us      63.495ms        27.32%      63.495ms       2.268ms           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.68%       1.664ms       100.00%     245.393ms     245.393ms       0.000us         0.00%      44.496ms      44.496ms           0 b           0 b           0 b    -172.64 Mb             1            --  
                                            mixed/layer         1.71%       4.195ms        18.27%      44.827ms       1.601ms       0.000us         0.00%      43.329ms       1.547ms           0 b           0 b     129.00 Mb      -1.94 Gb            28            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us      34.442ms        14.82%      34.442ms       1.230ms           0 b           0 b           0 b           0 b            28            --  
                                              mixed/mlp         0.69%       1.681ms         2.90%       7.110ms     253.923us       0.000us         0.00%      34.073ms       1.217ms           0 b           0 b     677.25 Mb     -16.19 Gb            28            --  
                                           aten::linear         0.31%     755.381us         4.43%      10.867ms      54.883us       0.000us         0.00%      31.135ms     157.246us           0 b           0 b       9.99 Gb           0 b           198            --  
                                           aten::matmul         0.17%     424.751us         2.27%       5.577ms      48.924us       0.000us         0.00%      28.547ms     250.410us           0 b           0 b       9.11 Gb           0 b           114            --  
                                               aten::mm         1.47%       3.612ms         2.10%       5.153ms      45.198us      28.547ms        12.28%      28.547ms     250.410us           0 b           0 b       9.11 Gb       9.11 Gb           114  20210373.624  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      22.775ms         9.80%      22.775ms     135.563us           0 b           0 b           0 b           0 b           168            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x25...         0.00%       0.000us         0.00%       0.000us       0.000us       7.867ms         3.39%       7.867ms     280.951us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us       5.759ms         2.48%       5.759ms     205.677us           0 b           0 b           0 b           0 b            28            --  
                                mixed/output_projection         0.62%       1.513ms         2.38%       5.832ms     208.290us       0.000us         0.00%       5.573ms     199.046us           0 b           0 b     701.44 Mb      -1.96 Gb            28            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us       4.782ms         2.06%       4.782ms       4.782ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::mul         0.11%     273.230us         0.16%     395.433us      14.123us       3.966ms         1.71%       3.966ms     141.661us           0 b           0 b       3.88 Gb       3.88 Gb            28      2071.265  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.966ms         1.71%       3.966ms     141.661us           0 b           0 b           0 b           0 b            28            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us       3.060ms         1.32%       3.060ms       3.060ms           0 b           0 b           0 b           0 b             1            --  
                                             aten::silu         0.13%     309.872us         0.18%     449.179us      16.042us       2.977ms         1.28%       2.977ms     106.314us           0 b           0 b       3.88 Gb       3.88 Gb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.977ms         1.28%       2.977ms     106.314us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us       2.821ms         1.21%       2.821ms     100.755us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.77%       1.901ms         2.79%       6.854ms     244.789us       0.000us         0.00%       2.588ms      92.427us           0 b           0 b     685.31 Mb    -217.69 Mb            28            --  
                                            aten::addmm         1.01%       2.479ms         1.51%       3.695ms      43.987us       2.588ms         1.11%       2.588ms      30.809us           0 b           0 b     903.00 Mb     819.00 Mb            84   1454383.301  
                                              aten::cat         0.20%     498.786us         0.28%     681.456us      24.338us       2.231ms         0.96%       2.231ms      79.670us           0 b           0 b     677.25 Mb     677.25 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       2.231ms         0.96%       2.231ms      79.670us           0 b           0 b           0 b           0 b            28            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us       2.092ms         0.90%       2.092ms      74.704us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.039ms         0.88%       2.039ms      36.405us           0 b           0 b           0 b           0 b            56            --  
                                              aten::add         0.21%     517.997us         0.31%     759.276us      13.558us       1.350ms         0.58%       1.350ms      24.110us           0 b           0 b       1.32 Gb       1.32 Gb            56       710.148  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.350ms         0.58%       1.350ms      24.110us           0 b           0 b           0 b           0 b            56            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.070ms         0.46%       1.070ms      18.768us           0 b           0 b           0 b           0 b            57            --  
                                            aten::copy_         0.14%     351.374us         0.28%     686.862us      17.612us     952.160us         0.41%     952.160us      24.414us           0 b           0 b           0 b           0 b            39            --  
                                          aten::reshape         0.13%     317.614us         0.50%       1.236ms       8.298us       0.000us         0.00%     928.384us       6.231us           0 b           0 b     677.25 Mb           0 b           149            --  
                                            aten::clone         0.05%     119.612us         0.30%     729.116us      26.040us       0.000us         0.00%     928.384us      33.157us           0 b           0 b     677.25 Mb           0 b            28            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     928.384us         0.40%     928.384us      33.157us           0 b           0 b           0 b           0 b            28            --  
                                         cuLaunchKernel         0.36%     886.385us         0.36%     886.385us       5.245us     618.627us         0.27%     618.627us       3.661us           0 b           0 b           0 b           0 b           169            --  
                                           aten::argmax         0.31%     771.350us         0.52%       1.280ms      19.686us     561.604us         0.24%     561.604us       8.640us           0 b           0 b      32.50 Kb      32.50 Kb            65            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     535.488us         0.23%     535.488us      19.125us           0 b           0 b           0 b           0 b            28            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     525.826us         0.23%     525.826us      18.780us           0 b           0 b           0 b           0 b            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     525.311us         0.23%     525.311us      18.761us           0 b           0 b           0 b           0 b            28            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     514.082us         0.22%     514.082us       7.909us           0 b           0 b           0 b           0 b            65            --  
                                   mixed/kv_cache_write         0.50%       1.224ms         1.14%       2.800ms      99.985us       0.000us         0.00%     475.548us      16.984us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         0.31%     756.779us         0.45%       1.097ms      19.581us     475.548us         0.20%     475.548us       8.492us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     475.548us         0.20%     475.548us       8.492us           0 b           0 b           0 b           0 b            56            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     381.600us         0.16%     381.600us     381.600us           0 b           0 b           0 b           0 b             1            --  
                           mixed/post_attention_rmsnorm         1.07%       2.622ms         1.27%       3.115ms     111.235us       0.000us         0.00%     357.472us      12.767us           0 b           0 b           0 b    -677.25 Mb            28            --  
                           mixed/final_norm_and_lm_head         0.05%     113.401us         0.11%     272.133us     272.133us       0.000us         0.00%     355.392us     355.392us           0 b           0 b      19.13 Mb     -24.19 Mb             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     351.008us         0.15%     351.008us     175.504us           0 b           0 b           0 b           0 b             2            --  
                                             mixed/rope         1.53%       3.753ms         1.80%       4.426ms     158.057us       0.000us         0.00%     236.578us       8.449us           0 b           0 b           0 b    -790.12 Mb            28            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     189.953us         0.08%     189.953us       0.918us           0 b           0 b           0 b           0 b           207            --  
                                   prefill/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us     180.448us         0.08%     180.448us     180.448us           0 b           0 b           0 b           0 b             1            --  
