CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               mixed/profiled_iteration         1.71%     774.738us        99.99%      45.387ms      45.387ms       0.000us         0.00%       5.428ms       5.428ms           0 b           0 b           0 b     -13.95 Mb             1            --  
                                              mixed/mlp         0.00%       0.000us         0.00%       0.000us       0.000us       4.989ms        76.08%       4.989ms     178.168us           0 b           0 b           0 b           0 b            28            --  
                                            mixed/layer         9.05%       4.109ms        92.79%      42.121ms       1.504ms       0.000us         0.00%       4.965ms     177.324us           0 b           0 b       9.28 Mb    -143.50 Mb            28            --  
                                           aten::linear         1.34%     608.719us        21.12%       9.589ms      48.427us       0.000us         0.00%       4.198ms      21.202us           0 b           0 b     661.77 Mb           0 b           198            --  
                                mixed/output_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.910ms        59.64%       3.910ms     139.654us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         0.00%       0.000us         0.00%       0.000us       0.000us       3.637ms        55.47%       3.637ms     129.895us           0 b           0 b           0 b           0 b            28            --  
                                           aten::matmul         0.77%     349.653us        10.92%       4.957ms      43.484us       0.000us         0.00%       3.508ms      30.774us           0 b           0 b     598.55 Mb           0 b           114            --  
                                               aten::mm         7.25%       3.290ms        10.15%       4.608ms      40.417us       3.508ms        53.51%       3.508ms      30.774us           0 b           0 b     598.55 Mb     598.55 Mb           114   1275667.415  
                                              mixed/mlp         3.60%       1.636ms        14.65%       6.650ms     237.498us       0.000us         0.00%       3.392ms     121.130us           0 b           0 b      49.00 Mb      -1.02 Gb            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us       1.968ms        30.02%       1.968ms      35.147us           0 b           0 b           0 b           0 b            56            --  
                                             mixed/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.708ms        26.06%       1.708ms      61.016us           0 b           0 b           0 b           0 b            28            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us       1.411ms        21.51%       1.411ms      16.794us           0 b           0 b           0 b           0 b            84            --  
                                   mixed/kv_cache_write         0.00%       0.000us         0.00%       0.000us       0.000us     820.960us        12.52%     820.960us      29.320us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/qkv_projection         3.92%       1.778ms        13.59%       6.169ms     220.314us       0.000us         0.00%     689.850us      24.637us           0 b           0 b      49.51 Mb     -13.71 Mb            28            --  
                                            aten::addmm         5.03%       2.285ms         7.20%       3.267ms      38.889us     689.850us        10.52%     689.850us       8.212us           0 b           0 b      63.22 Mb     -20.78 Mb            84     91603.599  
                                mixed/output_projection         3.03%       1.374ms        11.44%       5.192ms     185.418us       0.000us         0.00%     625.697us      22.346us           0 b           0 b      50.75 Mb    -145.25 Mb            28            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us     506.719us         7.73%     506.719us     506.719us           0 b           0 b           0 b           0 b             1            --  
                                decode_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     489.473us         7.47%     489.473us      17.481us           0 b           0 b           0 b           0 b            28            --  
                                 mixed/decode_attention         0.00%       0.000us         0.00%       0.000us       0.000us     489.473us         7.47%     489.473us      17.481us           0 b           0 b           0 b           0 b            28            --  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x...         0.00%       0.000us         0.00%       0.000us       0.000us     434.392us         6.63%     434.392us       7.757us           0 b           0 b           0 b           0 b            56            --  
                           mixed/final_norm_and_lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     415.263us         6.33%     415.263us     415.263us           0 b           0 b           0 b           0 b             1            --  
                 _packed_paged_prefill_attention_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     386.402us         5.89%     386.402us      13.800us           0 b           0 b           0 b           0 b            28            --  
                                mixed/prefill_attention         0.00%       0.000us         0.00%       0.000us       0.000us     386.402us         5.89%     386.402us      13.800us           0 b           0 b           0 b           0 b            28            --  
                           mixed/final_norm_and_lm_head         0.25%     115.330us         0.55%     250.278us     250.278us       0.000us         0.00%     343.839us     343.839us           0 b           0 b       2.90 Mb      -1.76 Mb             1            --  
                               mixed/profiled_iteration         0.00%       0.000us         0.00%       0.000us       0.000us     338.944us         5.17%     338.944us     338.944us           0 b           0 b           0 b           0 b             1            --  
                                              aten::mul         0.58%     263.019us         0.84%     382.309us      13.654us     229.503us         3.50%     229.503us       8.197us           0 b           0 b     248.83 Mb     248.83 Mb            28       130.458  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     229.503us         3.50%     229.503us       8.197us           0 b           0 b           0 b           0 b            28            --  
                                            rope_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     213.027us         3.25%     213.027us       3.804us           0 b           0 b           0 b           0 b            56            --  
                                             aten::silu         0.66%     300.313us         1.06%     482.122us      17.219us     203.261us         3.10%     203.261us       7.259us           0 b           0 b     248.83 Mb     248.83 Mb            28            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     203.261us         3.10%     203.261us       7.259us           0 b           0 b           0 b           0 b            28            --  
                                              aten::cat         1.02%     463.448us         1.39%     630.374us      22.513us     184.133us         2.81%     184.133us       6.576us           0 b           0 b      49.00 Mb      49.00 Mb            28            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     184.133us         2.81%     184.133us       6.576us           0 b           0 b           0 b           0 b            28            --  
                                   mixed/kv_cache_write         2.59%       1.176ms         5.67%       2.573ms      91.900us       0.000us         0.00%     180.801us       6.457us           0 b           0 b           0 b           0 b            28            --  
                                      aten::index_copy_         1.44%     652.126us         2.12%     962.267us      17.183us     180.801us         2.76%     180.801us       3.229us           0 b           0 b           0 b           0 b            56            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     180.801us         2.76%     180.801us       3.229us           0 b           0 b           0 b           0 b            56            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x256...         0.00%       0.000us         0.00%       0.000us       0.000us     170.495us         2.60%     170.495us     170.495us           0 b           0 b           0 b           0 b             1            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us     168.960us         2.58%     168.960us     168.960us           0 b           0 b           0 b           0 b             1            --  
                                              aten::add         1.05%     474.431us         1.54%     701.255us      12.522us     134.915us         2.06%     134.915us       2.409us           0 b           0 b      98.00 Mb      98.00 Mb            56        44.728  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.915us         2.06%     134.915us       2.409us           0 b           0 b           0 b           0 b            56            --  
                                         fused_rms_norm         0.00%       0.000us         0.00%       0.000us       0.000us     117.214us         1.79%     117.214us       2.056us           0 b           0 b           0 b           0 b            57            --  
                                            aten::copy_         0.71%     321.984us         1.30%     589.639us      15.119us     108.958us         1.66%     108.958us       2.794us           0 b           0 b           0 b           0 b            39            --  
                                          aten::reshape         0.53%     239.970us         2.41%       1.094ms      11.765us       0.000us         0.00%      98.333us       1.057us           0 b           0 b      49.00 Mb           0 b            93            --  
                                            aten::clone         0.25%     112.757us         1.54%     700.626us      25.022us       0.000us         0.00%      98.333us       3.512us           0 b           0 b      49.00 Mb           0 b            28            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      98.333us         1.50%      98.333us       3.512us           0 b           0 b           0 b           0 b            28            --  
                                   prefill/sample_batch         0.00%       0.000us         0.00%       0.000us       0.000us      96.800us         1.48%      96.800us      96.800us           0 b           0 b           0 b           0 b             1            --  
                                           aten::argmax         0.26%     120.049us         0.42%     190.515us      21.168us      79.264us         1.21%      79.264us       8.807us           0 b           0 b       4.50 Kb       4.50 Kb             9            --  
                                         cuLaunchKernel         1.83%     828.621us         1.83%     828.621us       4.903us      77.086us         1.18%      77.086us       0.456us           0 b           0 b           0 b           0 b           169            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      72.640us         1.11%      72.640us       8.071us           0 b           0 b           0 b           0 b             9            --  
                                    mixed/input_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      57.631us         0.88%      57.631us       2.058us           0 b           0 b           0 b           0 b            28            --  
                           mixed/post_attention_rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      57.567us         0.88%      57.567us       2.056us           0 b           0 b           0 b           0 b            28            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      51.968us         0.79%      51.968us       0.776us           0 b           0 b           0 b           0 b            67            --  
