batch_size,context_length,k_splits,num_kv_blocks,production_programs,splitk_programs,production_median_ms,splitk_median_ms,speedup,kv_bytes,production_gbps,splitk_gbps,max_abs_error,status,error
1,512,1,32,12,12,0.07039999961853027,0.07039999961853027,1.0,524288,7.44727276762655,7.44727276762655,0.0,ok,
1,512,2,32,12,24,0.07039999961853027,0.09423999860882759,0.7470288694585763,524288,7.44727276762655,5.563327756149704,5.960464477539063e-08,ok,
1,512,4,32,12,48,0.07039999961853027,0.09492800012230873,0.7416146924808731,524288,7.44727276762655,5.523006903384545,0.0,ok,
1,512,8,32,12,96,0.07039999961853027,0.09363199770450592,0.7518797136071611,524288,7.44727276762655,5.59945331567746,0.0,ok,
1,512,16,32,12,192,0.07039999961853027,0.09417599812150002,0.7475365382133202,524288,7.44727276762655,5.567108503841884,0.0,ok,
1,512,auto(4),32,12,48,0.07039999961853027,0.09348800033330917,0.753037816270921,524288,7.44727276762655,5.608078022107395,0.0,ok,
1,2048,1,128,12,12,0.18145599961280823,0.18145599961280823,1.0,2097152,11.557358282310389,11.557358282310389,0.0,ok,
1,2048,2,128,12,24,0.18145599961280823,0.14164800196886063,1.2810346569710094,2097152,11.557358282310389,14.805376502670544,1.52587890625e-05,ok,
1,2048,4,128,12,48,0.18145599961280823,0.10334399715065956,1.7558446026456036,2097152,11.557358282310389,20.292925160836162,1.52587890625e-05,ok,
1,2048,8,128,12,96,0.18145599961280823,0.09404800087213516,1.9293977323293703,2097152,11.557358282310389,22.298740861607733,3.814697265625e-06,ok,
1,2048,16,128,12,192,0.18145599961280823,0.09383999928832054,1.9336743498397755,2097152,11.557358282310389,22.348167262411888,3.814697265625e-06,ok,
1,2048,auto(16),128,12,192,0.18145599961280823,0.09408000111579895,1.9287414696079987,2097152,11.557358282310389,22.291156198209517,3.814697265625e-06,ok,
1,4096,1,256,12,12,0.3290880024433136,0.3290880024433136,1.0,4194304,12.745235222370287,12.745235222370287,0.0,ok,
1,4096,2,256,12,24,0.3290880024433136,0.21902400255203247,1.5025202653993768,4194304,12.745235222370287,19.149974208893287,6.103515625e-05,ok,
1,4096,4,256,12,48,0.3290880024433136,0.14115199446678162,2.331444225683686,4194304,12.745235222370287,29.714805064175536,3.814697265625e-06,ok,
1,4096,8,256,12,96,0.3290880024433136,0.10292800143361092,3.1972640861542136,4194304,12.745235222370287,40.74988284607223,3.814697265625e-06,ok,
1,4096,16,256,12,192,0.3290880024433136,0.09351999685168266,3.5189051916375513,4194304,12.745235222370287,44.849274392640595,3.814697265625e-06,ok,
1,4096,auto(32),256,12,384,0.3290880024433136,0.0960800014436245,3.42514568587312,4194304,12.745235222370287,43.65428743733973,3.814697265625e-06,ok,
1,8192,1,512,12,12,0.6264159977436066,0.6264159977436066,1.0,8388608,13.391433217249148,13.391433217249148,0.0,ok,
1,8192,2,512,12,24,0.6264159977436066,0.3739839941263199,1.674980768112828,8388608,13.391433217249148,22.430393096359616,3.814697265625e-06,ok,
1,8192,4,512,12,48,0.6264159977436066,0.21992000192403793,2.8483811943580077,8388608,13.391433217249148,38.14390654151362,3.814697265625e-06,ok,
1,8192,8,512,12,96,0.6264159977436066,0.14230400323867798,4.401956259044635,8388608,13.391433217249148,58.94850326824812,3.814697265625e-06,ok,
1,8192,16,512,12,192,0.6264159977436066,0.12015999853610992,5.213182468168547,8388608,13.391433217249148,69.81198487181317,3.814697265625e-06,ok,
