execution_mode,prompt_length,request_count,request_rate,arrival_pattern,max_num_batched_tokens,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,itl_p99_ms,e2e_p95_ms,exact_fraction_vs_first_budget,min_matched_prefix_vs_first_budget,decode_only_iterations,prefill_only_iterations,mixed_iterations,mean_token_budget_utilization
fully-eager,128,1,0.0,burst,512,1.156590201783306,74.02177291413159,222.06531874239477,16.091697849333286,16.091697849333286,16.091697849333286,13.469092607025116,13.469092607025116,13.469092607025116,14.327362971380353,15.993232326582085,864.5972809754312,1.0,64,63,1,0,0.005828857421875
fully-eager,128,1,0.0,burst,1024,1.106872015978857,70.83980902264685,212.51942706794054,16.539984848350286,16.539984848350286,16.539984848350286,14.089900046764384,14.089900046764384,14.089900046764384,15.61349146068096,17.39356920123101,903.433064930141,1.0,64,63,1,0,0.0029144287109375
fully-eager,128,1,0.0,burst,2048,1.0875237944548435,69.60152284510998,208.80456853532996,16.838864888995886,16.838864888995886,16.838864888995886,14.328070317528077,14.328070317528077,14.328070317528077,15.45333513058722,17.396795032545935,919.5072948932648,1.0,64,63,1,0,0.00145721435546875
fully-eager,128,1,0.0,burst,4096,1.1502212815496637,73.61416201917848,220.84248605753544,16.180511098355055,16.180511098355055,16.180511098355055,13.535461728535001,13.535461728535001,13.535461728535001,14.41186722368002,14.988168096169833,869.3847730755806,1.0,64,63,1,0,0.000728607177734375
fully-eager,128,1,0.0,burst,8192,1.15355934146044,73.82779785346816,221.48339356040447,16.01441903039813,16.01441903039813,16.01441903039813,13.506126567898761,13.506126567898761,13.506126567898761,14.448901824653149,14.983981540426615,866.8653280474246,1.0,64,63,1,0,0.0003643035888671875
fully-eager,128,1,0.0,burst,16384,1.1588578681737856,74.16690356312228,222.50071068936683,16.08203025534749,16.08203025534749,16.08203025534749,13.439753122391208,13.439753122391208,13.439753122391208,13.535141525790095,14.312452357262377,862.9051218740642,1.0,64,63,1,0,0.00018215179443359375
fully-eager,128,1,20.0,poisson,512,1.1615290426114049,74.33785872712991,223.01357618138974,16.113358084112406,16.113358084112406,16.113358084112406,13.402555426139207,13.402555426139207,13.402555426139207,13.531554350629449,13.579415045678616,860.9206806868315,1.0,64,63,1,0,0.005828857421875
fully-eager,128,1,20.0,poisson,1024,1.1634034281118903,74.45781939916098,223.37345819748296,16.169435810297728,16.169435810297728,16.169435810297728,13.382885205958571,13.382885205958571,13.382885205958571,13.483680691570044,13.533806344494224,859.5335530117154,1.0,64,63,1,0,0.0029144287109375
fully-eager,128,1,20.0,poisson,2048,1.1597327872793477,74.22289838587825,222.66869515763477,16.15043915808201,16.15043915808201,16.15043915808201,13.430230216019684,13.430230216019684,13.430230216019684,13.53993029333651,13.574904277920723,862.2549427673221,1.0,64,63,1,0,0.00145721435546875
fully-eager,128,1,20.0,poisson,4096,1.1622244686774617,74.38236599535755,223.14709798607262,16.13415591418743,16.13415591418743,16.13415591418743,13.392218396008488,13.392218396008488,13.392218396008488,13.474302319809794,13.59446761198342,860.4056229814887,1.0,64,63,1,0,0.000728607177734375
