max_prefill_attention_pairs,wall_time_s,request_throughput_rps,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,ttft_p95_ms,ttft_p99_ms,tpot_p95_ms,tpot_p99_ms,trace_itl_p95_ms,trace_itl_p99_ms,decode_interval_count,decode_iteration_count,decode_iteration_latency_p50_ms,decode_iteration_latency_p90_ms,decode_iteration_latency_p95_ms,decode_iteration_latency_p99_ms,decode_iteration_latency_max_ms,exact_fraction_vs_uncapped,min_matched_prefix_vs_uncapped,decode_interval_fraction_over_40ms,decode_slo_goodput_tok_s_at_40ms,decode_interval_fraction_over_50ms,decode_slo_goodput_tok_s_at_50ms,decode_interval_fraction_over_75ms,decode_slo_goodput_tok_s_at_75ms,decode_interval_fraction_over_100ms,decode_slo_goodput_tok_s_at_100ms,decode_interval_fraction_over_150ms,decode_slo_goodput_tok_s_at_150ms
,3.574994381517172,4.475531509285855,36663.55412406973,286.43401659429475,36949.98814066402,1128.2829279870912,1133.4325020852361,46.66744531427939,49.29959709785641,79.63482663035393,173.69128542952237,3024,219,32.65397343784571,32.95170608907938,79.60859686136246,175.63701886683702,186.17760110646486,1.0,64,0.057539682539682536,269.95269421089284,0.057539682539682536,269.95269421089284,0.057539682539682536,269.95269421089284,0.04365079365079365,273.9309444413692,0.021825396825396824,280.18248051783195
67108864,3.5862855333834887,4.4614406329505965,36548.121665131286,285.5322005088382,36833.653865640124,1138.1362172711224,1138.272619183671,46.8571843867678,49.51406273148244,80.58886509388685,159.2488121241331,3024,219,32.65007305890322,33.377679996192455,80.43925552628926,159.2405866831541,179.0070915594697,1.0,64,0.05555555555555555,269.6693004805694,0.05555555555555555,269.6693004805694,0.05555555555555555,269.6693004805694,0.041666666666666664,273.6350254876366,0.030753968253968252,276.75095227890364
50331648,3.6876264652237296,4.3388342476898005,35543.730157074846,277.68539185214723,35821.415548927,1157.1429781180582,1185.6122118392364,47.79963629571573,49.60480974100175,114.18705433607101,144.87317018210888,3024,228,32.52956550568342,35.4998679831624,114.6316023543477,144.82411555945873,163.15438505262136,1.0,64,0.09027777777777778,252.61657175438393,0.07539682539682539,256.74879484742183,0.061507936507936505,260.6055364009239,0.060515873015873016,260.88101794045974,0.006944444444444444,275.7570210753962
33554432,3.808585281483829,4.201034982146017,34414.87857374017,268.8662388573451,34683.74481259751,1265.7541084158497,1266.3075139504735,48.00693007437365,49.871302436712,93.90995372086763,143.4262664988637,3024,240,32.583508640527725,80.0875760614872,93.68212148547173,143.2294836267829,146.75886649638414,1.0,64,0.125,235.25795900017695,0.11011904761904762,239.25894469745884,0.11011904761904762,239.25894469745884,0.027777777777777776,261.3977322224188,0.0,268.8662388573451
25165824,3.99544872995466,4.0045564544590135,32805.32647492824,256.29161308537687,33061.61808801361,1395.572996331312,1403.9937154148583,49.17645340947997,50.56602132713629,87.58333418518305,111.41332797706127,3024,255,32.65141509473324,77.55988091230392,87.55318634212017,110.73156911879778,137.55608070641756,1.0,64,0.17261904761904762,212.05079892182965,0.15244708994708994,217.22070249266562,0.11607142857142858,226.54347942368133,0.01984126984126984,251.20646203209557,0.0,256.29161308537687
16777216,4.277587838470936,3.7404258203893135,30641.568320629256,239.38725250491606,30880.95557313417,1695.8644394332557,1709.250774066383,49.662643093763606,50.81277736166995,70.80752388574183,80.9646937996149,3024,282,32.57003519684076,69.46971174329519,70.77870331704617,81.03652484714985,117.77274589985609,1.0,64,0.2390873015873016,182.15280026911768,0.22420634920634921,185.71511057425036,0.020833333333333332,234.4000180777303,0.005952380952380952,237.962328382863,0.0,239.38725250491606
12582912,4.591436651535332,3.4847480678296527,28547.056171660515,223.02387634109778,28770.080048001615,1980.1659497467815,1992.1095247095916,50.064209756249234,50.789292694054666,64.12790715694427,79.37959861010313,3024,309,32.67654310911894,60.91387933120125,64.52054623514414,79.45726532489061,112.55812272429466,1.0,64,0.3115079365079365,153.55016883008122,0.3115079365079365,153.55016883008122,0.022817460317460316,217.93503789283858,0.004629629629629629,221.99135839507417,0.0,223.02387634109778
8388608,5.218824666924775,3.0658243993906966,25115.233479808587,196.21276156100458,25311.44624136959,2637.0236926480898,2680.5828184909437,50.783424039504354,51.74862446618222,58.384597301483154,59.78339537978172,3024,366,32.86504466086626,57.67646338790655,58.52355170063674,59.757874347269535,60.81780698150396,1.0,64,0.4742063492063492,103.16742423346471,0.31117724867724866,135.15581426308617,0.0,196.21276156100458,0.0,196.21276156100458,0.0,196.21276156100458
6291456,5.9999756291508675,2.6666774981991654,21845.422065247563,170.6673598847466,22016.08942513231,3415.31684265954,3481.854487778178,50.032159712697776,50.0420952038396,51.58798396587372,74.4294011965394,3024,429,46.969907358288765,50.56446231901646,51.55231337994337,74.39414598047733,75.17403271049261,1.0,64,0.5992063492063492,68.40239423952146,0.12367724867724868,149.55969037519128,0.0006613756613756613,170.55448464672756,0.0,170.6673598847466,0.0,170.6673598847466
4194304,7.539176852442324,2.122247602510715,17385.452359767776,135.82384656068575,17521.27620632846,4887.017738004379,5022.760132476247,46.33537072703124,46.39264429727244,50.81292521208525,63.216873444616795,3024,549,44.20179547742009,47.156454995274544,50.98491907119751,63.302538357675076,67.83072277903557,1.0,64,0.7222222222222222,37.728846266857154,0.07837301587301587,125.17892207825106,0.0,135.82384656068575,0.0,135.82384656068575,0.0,135.82384656068575
